medical_term,example_matched_text,plain_language_explanation,document_count,document_frequency_percent,total_occurrence_count,sample_names,example_sentence,manual_decision,manual_reason,reviewer_notes
atelectasis,atelectasis,The lung partly or completely collapses.,3,2.78,4,Discharge Summary - Respiratory Distress | Discharge Summary - Peripheral vascular disease | Discharge Summary - Lymphoma,"An x-ray was without infiltrate on initial review by the hospitalist, but there was a right upper lobe infiltrate versus atelectasis per the official radiology reading.",,,
basilar,basilar,A blood vessel in the brain.,3,2.78,4,Discharge Summary - Respiratory Distress | Death Summary - 2 | Cardio/Pulmo Discharge Summary,"In the morning, he still had some bilateral wheezing, but no tachypnea.,DISCHARGE PHYSICAL EXAMINATION: , ,GENERAL: No acute distress, running around the room.,HEENT: Oropharynx moist and clear.,NECK: Supple without lymphadenopathy, thyromegaly or masses.,CHEST: Bilateral basilar wheezing.",,,
cns,CNS,The CNS is the brain and spinal cord.,3,2.78,4,Neonatal Discharge Summary - 1 | Discharge Summary - Lymphoma | Discharge Summary - 19,"The lab showing normal antegrade flow across the right coronary artery as well as the left main and left anterior descending coronary artery, then the circumflex coronary artery.,CNS:, Infant had a head ultrasound done to rule out intracranial abnormalities and intracranial hemorrhage.",,,
community,Community,Community means a group of people.,3,2.78,4,Psychiatric Discharge Summary | Speech Therapy - Discharge Summary | Pneumonia & COPD - Discharge Summary,The patient was discharged to return home to her parents and was referred to Community Mental Health Agencies.,,,
continuous,continuous,Continuous means something that never stops or has interruptions.,3,2.78,4,Leiomyosarcoma | Knee Osteoarthrosis - Discharge Summary | Discharge Summary - Respiratory Distress,"XYZ for cycle six of continuous IV infusion Cytoxan, Adriamycin, and DTIC, which she tolerated well.,2.",,,
cpap,CPAP,A CPAP machine is a treatment that helps keep your airways open by gently blowing air into your nose and mouth.,3,2.78,4,Prematurity - Discharge Summary | Gastric Bypass Summary | Discharge Summary - 11,"The infant delivered vaginally, had a double nuchal cord and required CPAP and free flow oxygen.",,,
diabetes mellitus type 2,diabetes mellitus type 2,Type 2 diabetes is a condition where the body struggles to regulate blood sugar levels properly.,3,2.78,4,ORIF - Discharge Summary | ER Report - Chest Pain & Fever | Discharge Summary - COPD,"X and to Internal Medicine for management of multiple medical problems including hypothyroid, diabetes mellitus type 2, bronchitis, and congestive heart failure.,HOSPITAL COURSE: , The patient was admitted and consented for operation, and taken to the operating room for open reduction and internal fixation of right Schatzker III tibial plateau fracture and partial medial meniscectomy performed without incidence.",,,
dialysis,dialysis,Using a machine to clean waste from the blood when the kidneys are not functioning as they should.,3,2.78,4,Renal Disease - Discharge Summary | Lap Chole - Discharge Summary | Discharge Summary - Hemodialysis,Nephrology was able to perform dialysis on the patient and Renal concurred that the presyncopal symptoms were likely due to decreased intravascular volume in the postdialytic time frame.,,,
fetal,fetal,Related to a baby that has not been born yet.,3,2.78,4,Neonatal Discharge Summary - 1 | Intrauterine Pregnancy - Discharge Summary | Cholestasis Of Pregnancy,She was evaluated for evolving preeclampsia and had a C-section secondary to the nonreassuring fetal status.,,,
gait,gait,How a person walks.,3,2.78,4,Knee Osteoarthrosis - Discharge Summary | Discharge Summary - Urology & Nephrology | Discharge Summary - Migraine,"Examination of her gait reveals she walks without assistive devices.,HEENT: Normocephalic and atraumatic.,CHEST: Clear to auscultation.,CARDIOVASCULAR: Regular rate and rhythm.,ABDOMEN: Soft.,EXTREMITIES: Grossly neurovascularly intact.,HOSPITAL COURSE: , The patient was taken to the operating room (OR) on 03/15/2007.",,,
genitourinary,GENITOURINARY,Important body parts involved in sex and peeing.,3,2.78,4,Discharge Summary - Respiratory Distress | Discharge Summary - 8 | Bronchiolitis - Discharge Summary,"Nontender to palpation.,GENITOURINARY: Deferred.,EXTREMITIES: Warm and well perfused.,DISCHARGE INSTRUCTIONS:, As follows:,1.",,,
hdl,HDL,It's a good cholesterol that takes bad stuff away.,3,2.78,4,ER Report - Chest Pain & Fever | Discharge Summary - 6 | Discharge Summary - 1,"Lipid panel - triglycerides 249, VLDL 49, HDL 33, LDL 81.,COURSE IN THE HOSPITAL: , The patient was placed on home medications.",,,
heart murmur,heart murmur,A heart murmur is a weird sound that your doctor can hear when they listen to your heart.,3,2.78,4,Mullerian Adenosarcoma | Bronchiolitis - Discharge Summary | BRCA-2 mutation,"There is no heart murmur.,ABDOMEN: Nontender.,PELVIC: There is a large mass in the vagina.",,,
hemoglobin and hematocrit,hemoglobin and hematocrit,A measure of red blood cell count showing if the patient might have anemia.,3,2.78,4,TAH - Discharge Summary | Gastroenteritis - Discharge Summary | Discharge Summary - COPD,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
hypercholesterolemia,hypercholesterolemia,Having lots of cholesterol in your blood can raise your chances of having a heart attack or stroke.,3,2.78,4,GI Bleed - Discharge Summary | Falls - Discharge Summary | Discharge Summary - 1,"The patient was admitted to ABCD for further evaluation.,PAST MEDICAL HISTORY: ,Significant for atrial fibrillation, hypertension, osteoarthritis of the knees, hypercholesterolemia, non-insulin-dependent diabetes mellitus, asthma, and hypothyroidism.,PHYSICAL EXAMINATION:,GENERAL: The patient is in no acute distress.,VITAL SIGNS: Stable.,HEENT: Benign.,NECK: Supple.",,,
hysterectomy,hysterectomy,Surgery to remove part or all of the uterus for medical reasons like heavy bleeding or growths.,3,2.78,4,TAH - Discharge Summary | Mullerian Adenosarcoma | BRCA-2 mutation,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
incisional,incisional,A medical cut in the body during surgery.,3,2.78,4,TAH - Discharge Summary | Cholecystitis - Discharge Summary | Back Pain - Discharge Summary,"On the 4th postoperative day, the patient was complaining of pain in her back and abdomen as well as incisional wound tenderness.",,,
lumbar,lumbar,Lumbar means it relates to the lower back.,3,2.78,4,Discharge Summary - Hemodialysis | Discharge Summary - Migraine | Back Pain - Discharge Summary,"The patient was found to have lumbar diskitis and was going to require extensive antibiotic therapy, which was the cause of need for continued hospitalization.",,,
moderately,moderately,"In the middle, not too extreme.",3,2.78,4,Otitis Media - Discharge Summary | Goldenhar Syndrome - Discharge Summary | Discharge Summary - 17,"He was noted to have some increased workup of breathing and parents returned to the office on the day of admission.,PAST MEDICAL HISTORY: , Significant for being born at 33 weeks' gestation with a birth weight of 5 pounds and 1 ounce.,PHYSICAL EXAMINATION: , On exam, he was moderately ill appearing and lethargic.",,,
monitored,monitored,Keep an eye on someone to see how they are progressing.,3,2.78,4,Hysterectomy - Discharge Summary | Gastric Bypass Summary | Discharge Summary - 17,"The patient was monitored in the hospital, 2 days postoperatively.",,,
musculoskeletal,musculoskeletal,"The muscles, bones, and other body structures that form our internal framework.",3,2.78,4,Occupational Therapy Discharge Summary | ER Report - Chest Pain & Fever | Discharge Summary - Respiratory Failure,"DIAGNOSES: , Traumatic brain injury, cervical musculoskeletal strain.,DISCHARGE SUMMARY: , The patient was seen for evaluation on 12/11/06 followed by 2 treatment sessions.",,,
numbness,numbness,"When you can't feel a part of your body, that's numbness.",3,2.78,4,Discharge Summary - 1 | Back Pain - Discharge Summary | Anterior Cervical Discectomy & Fusion - Discharge Summary,"on March 26 with the sudden onset of right-sided weakness of his arm, hand, leg and foot and also with a right facial droop, right hand numbness on the dorsal side, left face numbness and slurred speech.",,,
oncology,Oncology,The study and treatment of cancer.,3,2.78,4,Discharge Summary - Mesothelioma | Discharge Summary - 5 | Discharge Summary - 4,"Radiation Oncology.,2.",,,
operative,OPERATIVE,Dealing with surgeries.,3,2.78,4,Neck Pain - Discharge Summary | Discharge Summary - 4 | Cholestasis Of Pregnancy,"Cervical spondylosis with herniated nucleus pulposus C4-C5, C5-C6, and C6-C7 with stenosis.,OPERATIVE PROCEDURES,1.",,,
small bowel,small bowel,It's a long tube that helps digest food connecting the stomach to the large intestine.,3,2.78,4,Discharge Summary - Respiratory Failure | Discharge Summary - 9 | Cholecystitis - Discharge Summary,"End-stage liver disease.,HISTORY AND HOSPITAL COURSE: ,The patient was admitted after undergoing a drawn out process with a small bowel obstruction.",,,
stents,stents,Small tubes put in your body to keep things open.,3,2.78,4,Discharge Summary - 9 | Discharge Summary - 6 | Discharge Summary - 4,"History of coronary artery disease/angioplasty and stents.,7.",,,
systemic,Systemic,Systemic means something that has an impact on the whole body.,3,2.78,4,Pneumonia & COPD - Discharge Summary | Discharge Summary - Respiratory Distress | COPD - Discharge Summary,"Systemic inflammatory response syndrome.,4.",,,
trace,trace,A trace is just a tiny bit of something.,3,2.78,4,Discharge Summary - 19 | Discharge Summary - 5 | Discharge Summary - 14,"Urinalysis revealed trace protein, trace blood, and 10-20 WBCs.",,,
urinary,urinary,Dealing with urine or the body parts responsible for making it.,3,2.78,4,Urology Discharge Summary | Hip Surgery - Discharge Summar | Discharge Summary - Cerebral Palsy,"He is being discharged in satisfactory condition with a good urinary stream, minimal hematuria, and on Bactrim DS one a day for ten days with a standard postprostatic surgery instruction sheet.",,,
ace inhibitor,ACE inhibitor,A drug that helps lower high blood pressure.,3,2.78,3,Discharge Summary - 3 | CHF & Pleural Effusion - Discharge Summary | Chest Pain & Respiratory Insufficiency,"On admission her potassium had risen slightly to 5.5, and hence her ACE inhibitor had to be discontinued.",,,
aggressive,aggressive,Spreading quickly and growing fast.,3,2.78,3,Discharge Summary - Hemodialysis | Discharge Summary - 3 | Discharge Summary - 17,"He did have some bouts of issues with constipation on and off throughout his hospitalization, but this seemed to come under control with more aggressive management.",,,
anion,anion,A particle that carries a negative charge.,3,2.78,3,Knee Surgery - Discharge Summary | Hip Surgery - Discharge Summar | Discharge Summary - 15,"Creatinine was 0.8, BUN was 8, anion gap was slightly decreased at 5, fasting glucose was 102.",,,
aortic valve,Aortic valve,A part in the heart that controls blood flow.,3,2.78,3,Discharge Summary - 12 | Death Summary | COPD - Discharge Summary,"Aortic valve stenosis.,2.",,,
assessment,assessment,Assessment is a way to find out about a patient's health.,3,2.78,3,Lap Chole - Discharge Summary | Discharge Summary - 19 | Back Pain - Discharge Summary,"The patient's initial assessment, the patient's vital signs were stable, showed temperature 97.9, pulse was 106, and blood pressure was 156/85.",,,
blood transfusions,BLOOD TRANSFUSIONS,When someone receives blood or parts of blood as a treatment to replace what was lost.,3,2.78,3,TAH - Discharge Summary | Discharge Summary - Hip Surgery | D&C - Discharge Summary,"Extensive adenomyosis by pathological report.,OPERATION PERFORMED: , On 6/10/2009 total abdominal hysterectomy (TAH).,COMPLICATIONS:, None.,BLOOD TRANSFUSIONS: , None.,INFECTIONS: , None.,SIGNIFICANT LAB AND X-RAY: , On admission hemoglobin and hematocrit was 10.5 and 32.8 respectively.",,,
bmp,BMP,"A blood test that checks electrolytes, sugar levels, and fluid balance.",3,2.78,3,Discharge Summary - Hip Surgery | Discharge Summary - 6 | Discharge Summary - 16,"Distal pulses were present.,PREDISCHARGE LABORATORY FINDINGS: , White count of 10.9, hemoglobin of 9.5, and BMP is pending.,DISCHARGE INSTRUCTIONS: , Continue diet as before.,ACTIVITY: , Weightbearing as tolerated in the right lower extremity as instructed.",,,
bowel movements,bowel movements,Getting rid of waste through your butt.,3,2.78,3,Gastroenteritis - Discharge Summary | Discharge Summary - Nephrology | Cholestasis Of Pregnancy,"This patient presented with periumbilical abdominal pain with nausea, vomiting, and diarrhea for the past 3 days and four to five watery bowel movements a day with symptoms progressively getting worse.",,,
bronchodilator,bronchodilator,A bronchodilator is medicine that helps you breathe easier by opening up your airways.,3,2.78,3,Discharge Summary - COPD | Discharge Summary - 3 | Cardio/Pulmo Discharge Summary,"The patient started on IV steroid, bronchodilator as well as antibiotics.,He also complained of chest pain that appears to be more pleuritic with history of coronary artery disease and orthopnea.",,,
bronchoscopy,bronchoscopy,A medical test where doctors look inside your lungs using a special tube.,3,2.78,3,Discharge Summary - Mesothelioma | Discharge Summary - 7 | Death Summary - 1,"Flexible bronchoscopy.,2.",,,
calorie,calorie,Calories are a way to measure how much energy is in your food.,3,2.78,3,GI Bleed - Discharge Summary | ER Report - Chest Pain & Fever | Cardio/Pulmo Discharge Summary,"Asthma.,CONDITION UPON DISCHARGE: , Stable.,MEDICATIONS: , Feosol 325 mg daily, multivitamins one daily, Protonix 40 mg b.i.d., KCl 20 mEq daily, Lasix 40 mg b.i.d., atenolol 50 mg daily, Synthroid 80 mcg daily, Actos 30 mg daily, Mevacor 40 mg daily, and lisinopril 20 mg daily.,ALLERGIES:, None.,DIET: , 1800-calorie ADA.,ACTIVITY: , As tolerated.,FOLLOWUP: , The patient to hold Coumadin through weekend.",,,
chronic disease,chronic disease,An illness that sticks around for a long time.,3,2.78,3,Hypothermia - Discharge Summary | Discharge Summary - Respiratory Failure | CHF & Pleural Effusion - Discharge Summary,"Anemia of chronic disease.,HOSPITAL COURSE: ,The patient was admitted through the emergency room.",,,
clubbing,clubbing,Clubbing is when the ends of your fingers or toes get puffy and rounded.,3,2.78,3,ESRD - Discharge Summary | Discharge Summary - Respiratory Failure | Back Pain - Discharge Summary,"End-stage renal disease.,PAST SURGICAL HISTORY: , Coronary artery bypass graft x5 in 1995 and cadaveric renal transplant in 1996.,SOCIAL HISTORY: ,The patient denies tobacco or ethanol use.,FAMILY HISTORY:, Hypertension.,PHYSICAL EXAMINATION: ,GENERAL: The patient was alert and oriented x3 in no acute distress, healthy-appearing male.,VITAL SIGNS: Temperature 96.6, blood pressure 166/106, heart rate 83, respiratory rate 18, and saturations 96% on room air.,CARDIOVASCULAR: Regular rate and rhythm.,PULMONARY: Clear to auscultation bilaterally.,ABDOMEN: Soft, nontender, and nondistended with positive bowel sounds.,EXTREMITIES: No clubbing, cyanosis, or edema.,PERTINENT LABORATORY DATA: , White blood cell count 6.4, hematocrit 34.6, and platelet count 182.",,,
comorbidities,comorbidities,When someone has multiple health issues or diseases simultaneously.,3,2.78,3,Gastric Bypass Summary | Discharge Summary - Hip Surgery | Discharge Summary - 6,"Obstructive sleep apnea, on CPAP.,OPERATION AND PROCEDURE: , Laparoscopic Roux-en-Y gastric bypass.,BRIEF HOSPITAL COURSE SUMMARY: ,This is a 30-year-old male, who presented recently to the Bariatric Center for evaluation and treatment of longstanding morbid obesity and associated comorbidities.",,,
complaint,complaint,A complaint is when a patient talks about their illness or problem.,3,2.78,3,Discharge Summary - Cholelithiasis | Discharge Summary - 17 | Discharge Summary,ABC is a 27-year-old woman who apparently presented with complaint of symptomatic cholelithiasis.,,,
diffusely,diffusely,Spread out all over the place.,3,2.78,3,Discharge Summary - Peripheral vascular disease | Discharge Summary - Migraine | Discharge Summary - 14,A chest x-ray revealed bilateral pleural effusions and bibasilar atelectasis in addition to some pulmonary edema diffusely.,,,
distal pulses,distal pulses,"Pulses felt in areas farther from the chest, like the wrists and ankles.",3,2.78,3,Discharge Summary - ATV Accident | Discharge Summary - Hip Surgery | Discharge Summary - 6,"However, frequent checks of his distal pulses indicated that he had strong peripheral pulses in the left upper extremity.",,,
diverticulosis,diverticulosis,Diverticulosis is when pockets develop in the intestines.,3,2.78,3,GI Bleed - Discharge Summary | Discharge Summary - Peripheral vascular disease | Discharge Summary - 14,"Colonoscopy did reveal diverticulosis as well as polyp, which was resected.",,,
doxycycline,doxycycline,A medication that treats various infections and acne.,3,2.78,3,Discharge Summary - 8 | Cellulitis - Discharge Summary | Back Pain - Discharge Summary,"A thought of ours was to add doxycycline, but again the patient clinically appeared to be responding to the levofloxacin.",,,
drains,drains,Drains: Removing excess fluid from a body cavity or wound.,3,2.78,3,Gastric Bypass Summary | Goldenhar Syndrome - Discharge Summary | Cholecystitis - Discharge Summary,"He had his drains removed today as well.,DISCHARGE INSTRUCTIONS: , Include re-appointment in the office in the next week, call in the interim if any significant concerning complaints.",,,
episodic,episodic,"An episodic event is something that happens sporadically, not consistently.",3,2.78,3,Pneumonia & COPD - Discharge Summary | Discharge Summary - Multiple Trauma | Discharge Summary - Hemodialysis,"Atrial fibrillation with episodic rapid ventricular rate, now rate control.,8.",,,
exercises,exercises,Structured physical activities done to improve or maintain health and fitness.,3,2.78,3,Laryngitis - Discharge | Knee Arthroplasty - Discharge Summary | Back Pain - Discharge Summary,"To be independent with relaxation and stretching exercises and Lessac-Madsen Resonant Voice Therapy Protocol.,2.",,,
filling,filling,A filling is something dentists use to fix a cavity in a tooth.,3,2.78,3,Discharge Summary - 9 | Cholecystitis - Discharge Summary | Chronic Abscesses - Discharge Summary,"There was some pseudo normal pattern of filling, mild MR and global hypokinesis of the LV.,3.",,,
followed up,followed up,Going back to the doctor for an appointment later on.,3,2.78,3,ESRD - Discharge Summary | Discharge Summary - 16 | Cardiac Transfer Summary,"The patient will be followed up in the Transplant Clinic at ABCD tomorrow, at which time, his labs will be rechecked.",,,
frequency,frequency,How often something happens.,3,2.78,3,Hip Surgery - Discharge Summar | Discharge Summary - Cerebral Palsy | Back Pain - Discharge Summary,"She denies urinary symptoms such as dysuria, urinary frequency, incomplete bladder emptying or voiding difficulties.",,,
gestation,gestation,How long a baby has been growing in a woman's belly.,3,2.78,3,Prematurity - Discharge Summary | Otitis Media - Discharge Summary | Neonatal Discharge Summary,"Prematurity, 34 weeks' gestation, now 5 days old.,2.",,,
heparin,Heparin,A medicine that helps prevent the formation of blood clots.,3,2.78,3,Renal Disease - Discharge Summary | Gastric Bypass Summary | Discharge Summary - Lymphoma,Heparin 5000 units q.8h.,,,
imaging,imaging,Taking pictures from the inside of the body.,3,2.78,3,Neck Pain - Discharge Summary | Discharge Summary - Urology | Discharge Summary - ATV Accident,"The patient had imaging studies that showed evidence of cervical spondylosis with herniated disk and stenosis at C4-C5, C5-C6 and C6-C7.",,,
inflammation,inflammation,"Your body's reaction to cell injury, characterized by swelling, redness, or pain.",3,2.78,3,Leiomyosarcoma | Gastroenteritis - Discharge Summary | Chronic Abscesses - Discharge Summary,MRI showed inflammation and was thought to be secondary to rheumatoid arthritis.,,,
injection,injection,To inject means to use a needle to put a drug into the body.,3,2.78,3,Prematurity - Discharge Summary | Chronic Abscesses - Discharge Summary | Anterior Cervical Discectomy & Fusion - Discharge Summary,Eyes are without conjunctival injection.,,,
intraoperative,intraoperative,In the middle of surgery.,3,2.78,3,TAH - Discharge Summary | D&C - Discharge Summary | Anterior Cervical Discectomy & Fusion - Discharge Summary,"On discharge, hemoglobin and hematocrit 7.9 and 25.2.,HOSPITAL COURSE AND TREATMENT: ,The patient was admitted to the surgical suite and taken to the operating room on 6/10/2009 where a total abdominal hysterectomy (TAH) with low intraoperative complication was performed.",,,
iv fluid,IV fluid,A liquid given through a tube in your vein with minerals and salt.,3,2.78,3,Mastoiditis - Discharge Summary | Lap Chole - Discharge Summary | Discharge Summary - 17,The child was continued on IV fluid and narcotics for pain as well as Unasyn until the time of discharge.,,,
lactulose,lactulose,A medication that helps regulate your bowel movements.,3,2.78,3,Hip Surgery - Discharge Summar | Falls - Discharge Summary | Back Pain - Discharge Summary,Dulcolax suppository and lactulose will be used as a p.r.n.,,,
lipase,lipase,"A digestive enzyme that helps your body break down fats, mostly produced by your pancreas.",3,2.78,3,Lap Chole - Discharge Summary | Gastroenteritis - Discharge Summary | Discharge Summary - 18,"Urine shows positive glucose, but negative for nitrite and creatinine was 7.1, sodium 131, potassium was 5.2, and lipase and amylase were normal.",,,
lower extremity edema,lower extremity edema,"Swelling in the leg, ankle, or foot caused by excess fluid retention.",3,2.78,3,GI Bleed - Discharge Summary | Discharge Summary - Respiratory Failure | Discharge Summary - Cerebral Palsy,"No masses or organomegaly.,EXTREMITIES: 1+ lower extremity edema bilaterally.,HOSPITAL COURSE: , The patient underwent upper endoscopy performed by Dr.",,,
lymphadenopathy,lymphadenopathy,Swollen lymph nodes indicating possible infection or disease.,3,2.78,3,Discharge Summary - Respiratory Distress | Discharge Summary - Lymphoma | Discharge Summary - 19,"In the morning, he still had some bilateral wheezing, but no tachypnea.,DISCHARGE PHYSICAL EXAMINATION: , ,GENERAL: No acute distress, running around the room.,HEENT: Oropharynx moist and clear.,NECK: Supple without lymphadenopathy, thyromegaly or masses.,CHEST: Bilateral basilar wheezing.",,,
lymphocytes,lymphocytes,White blood cells that help your body fight off infections and keep you healthy.,3,2.78,3,Otitis Media - Discharge Summary | Goldenhar Syndrome - Discharge Summary | Discharge Summary - 7,"White blood cell count was 8.6 with 61% neutrophils, 21% lymphocytes, 17% monocytes, suggestive of a viral infection.",,,
mcv,MCV,A blood test that shows the size and variation of blood cells.,3,2.78,3,Pancreatic Mass - Discharge Summary | Goldenhar Syndrome - Discharge Summary | CHF & Pleural Effusion - Discharge Summary,"At the time of discharge, the patient's white count was 9.4, hemoglobin 10.8, hematocrit 32 with a MCV of 79, platelet count of 585,000.",,,
mechanical,Mechanical,When a machine takes over the pumping of your heart.,3,2.78,3,Knee Osteoarthrosis - Discharge Summary | Death Summary - 1 | COPD - Discharge Summary,Mechanical and chemical deep venous thrombosis (DVT) prophylaxis were initiated.,,,
metformin,Metformin,"A medication for managing blood sugar in diabetics, also known as Glucophage.",3,2.78,3,Pneumonia & COPD - Discharge Summary | ER Report - Chest Pain & Fever | Cardiac Transfer Summary,Metformin 1000 mg p.o.,,,
morphine,Morphine,A strong painkiller medication called morphine.,3,2.78,3,Mastoiditis - Discharge Summary | Neck Pain - Discharge Summary | Discharge Summary - Migraine,"The patient was admitted and started on IV Unasyn, which he tolerated well and required Morphine and Vicodin for pain control.",,,
multivitamins,multivitamins,A multivitamin is a pill that has multiple vitamins packed inside.,3,2.78,3,GI Bleed - Discharge Summary | Discharge Summary - 19 | Discharge Summary - 4,"Asthma.,CONDITION UPON DISCHARGE: , Stable.,MEDICATIONS: , Feosol 325 mg daily, multivitamins one daily, Protonix 40 mg b.i.d., KCl 20 mEq daily, Lasix 40 mg b.i.d., atenolol 50 mg daily, Synthroid 80 mcg daily, Actos 30 mg daily, Mevacor 40 mg daily, and lisinopril 20 mg daily.,ALLERGIES:, None.,DIET: , 1800-calorie ADA.,ACTIVITY: , As tolerated.,FOLLOWUP: , The patient to hold Coumadin through weekend.",,,
no apparent distress,no apparent distress,Not visibly showing any signs of pain or discomfort.,3,2.78,3,ER Report - Chest Pain & Fever | Discharge Summary - Respiratory Failure | Discharge Summary - 16,"In general, she is well developed, well nourished, oriented, and alert and in no apparent distress.",,,
obesity,obesity,Obesity is when someone is really overweight or fat.,3,2.78,3,Discharge Summary - 5 | Back Pain - Discharge Summary | Cardiac Transfer Summary,"XXX is a pleasant 37-year-old African-American female with the past medical history of Ewing sarcoma, iron deficiency anemia, hypertension, and obesity.",,,
occasional,occasional,Happens every now and then.,3,2.78,3,CVA - Discharge Summary | Cholestasis Of Pregnancy | Back Pain - Discharge Summary,His lung examination has just occasional rhonchi.,,,
oxygen saturation,oxygen saturation,Oxygen saturation: A measure of how much oxygen is in your blood.,3,2.78,3,Discharge Summary - Peripheral vascular disease | Discharge Summary - 18 | Discharge Summary - 19,"However, his oxygen saturation dropped to 93%, improving only to 97% after an addition of 2 liters by nasal cannula.",,,
pacu,PACU,PACU is where patients recover after surgery.,3,2.78,3,Gastric Bypass Summary | Discharge Summary - Nephrology | Discharge Summary - Hip Surgery,",Taken to the OR via same day surgery process for elective gastric bypass, tolerated well, recovered in the PACU, and sent to the floor for routine postoperative care.",,,
pallor,pallor,Pallor means having a pale skin color.,3,2.78,3,Discharge Summary - Migraine | Discharge Summary - ATV Accident | Discharge Summary - 19,Funduscopic exam revealed no disc pallor or edema.,,,
pathology report,pathology report,Report about cells and tissues taken from a sample to help diagnose and treat a disease.,3,2.78,3,Urology Discharge Summary | Hysterectomy - Discharge Summary - 2 | Discharge Summary - 17,The pathology report is pending at the time of dictation.,,,
perfusion,perfusion,"Perfusion means the spreading of blood, oxygen, or nutrients to an area.",3,2.78,3,Renal Disease - Discharge Summary | Discharge Summary - COPD | Death Summary - 2,Cardiology also ordered a nuclear medicine myocardial perfusion stress test.,,,
pleural effusions,pleural effusions,Fluid that accumulates around the lungs.,3,2.78,3,Pneumonia & COPD - Discharge Summary | Discharge Summary - Peripheral vascular disease | Discharge Summary - 9,The patient's chest x-ray on admission revealed some mild vascular congestion and bilateral pleural effusions that appeared to be unchanged.,,,
preemie,preemie,"A preemie is a baby born prematurely, more than 3 weeks early or before 37 weeks of pregnancy.",3,2.78,3,Neonatal Discharge Summary - 1 | Neonatal Discharge Summary | Discharge Summary - Urology & Nephrology,"The patient is to get followup exam after discharge.,DISCHARGE DIAGNOSIS: , Stable ex-32-weeks preemie.,DISCHARGE INSTRUCTIONS: , The patient has been educated on CPR measures.",,,
pulse oximetry,Pulse oximetry,A tool that checks the level of oxygen in your blood.,3,2.78,3,Otitis Media - Discharge Summary | Goldenhar Syndrome - Discharge Summary | Discharge Summary - 17,Pulse oximetry checks were ordered every shift and as needed with O2 ordered per nasal cannula if O2 saturations were less that 94%.,,,
reaction,reaction,"When your body reacts to something, causing a physical or behavioral change.",3,2.78,3,Pneumonia - Discharge Summary | Discharge Summary - Cholelithiasis | Death Summary - 1,"She was first started on Avelox, but had a reaction, switched to Augmentin, which caused loose stools, and then three days prior to admission was given daily 1 g Rocephin and started on azithromycin.",,,
red blood cells,red blood cells,Blood cells that carry oxygen and are produced in the bone marrow.,3,2.78,3,Leiomyosarcoma | Discharge Summary - Cerebral Palsy | Discharge Summary - 1,"She did not require transfusion of red blood cells or platelets; however, on 07/26/2008 her ANC did dip to 900 and she was placed on neutropenic diet.",,,
red cells,red cells,Red cells are blood cells that carry oxygen throughout your body.,3,2.78,3,ER Report - Chest Pain & Fever | Discharge Summary - 17 | Cholestasis Of Pregnancy,"Spinal fluid was clear with 11 red cells, glucose 75, protein 67, white count 0.",,,
refer,refer,Referring a patient means sending them to another place for medical care.,3,2.78,3,Discharge Summary - Hip Surgery | Discharge Summary - 9 | Cardiac Transfer Summary,"Hip arthroscopy.,POSTOP COMORBIDITIES: , Postop acute blood loss anemia requiring transfusion and postop pain.,PROCEDURES DURING THIS HOSPITALIZATION:, Right total hip arthroplasty and removal of hardware.,CONSULTS:, Acute pain team consult.,DISPOSITION: , Home.,HISTORY OF PRESENT ILLNESS AND HOSPITAL COURSE:, For details, please refer to clinic notes and OP notes.",,,
retractions,retractions,"When someone's chest caves in, it shows they are struggling to breathe.",3,2.78,3,Neonatal Discharge Summary | Discharge Summary - 16 | Bronchiolitis - Discharge Summary,"Color, tone, and __________ mild retractions.",,,
sclerae,Sclerae,The white tough outer layer of the eyeball.,3,2.78,3,Knee Surgery - Discharge Summary | Hip Surgery - Discharge Summar | Back Pain - Discharge Summary,Sclerae nonicteric.,,,
spinal,Spinal,"""Spinal means having to do with your spine.""",3,2.78,3,Neck Pain - Discharge Summary | Intrauterine Pregnancy - Discharge Summary | Back & Leg Pain - Discharge Summary,"Spinal instrumentation C4 through C7.,4.",,,
tachypnea,tachypnea,"Quick, shallow breathing where you take more breaths than usual in a minute.",3,2.78,3,Otitis Media - Discharge Summary | Discharge Summary - Respiratory Distress | Bronchiolitis - Discharge Summary,"Lungs showed increased workup of breathing, moderate tachypnea.",,,
tingling,tingling,"Feeling like a bunch of tiny needles are poking you, usually from cold, a quick slap, or excitement.",3,2.78,3,Neck Pain - Discharge Summary | Back Pain - Discharge Summary | Anterior Cervical Discectomy & Fusion - Discharge Summary,"The patient has resolution of the pain down the arm, but she does have some tingling of the right thumb and right index finger.",,,
