sample_name,medical_term,matched_text,plain_language_explanation,occurrence_count_in_document,example_sentence
Lap Chole - Discharge Summary,cyst,cyst,A cyst is a fluid-filled sac or pocket.,1,EKG was not available and ultrasound of the abdomen showed there is a renal cyst about 2 cm.
Discharge Summary - Nephrology,cystic,cystic,"""Having to do with a sac-like structure called a cyst.""",1,Approximately one liter of cystic fluid was drained during the procedure.
Cholecystitis - Discharge Summary,cystic duct,cystic duct,A tube that moves bile from the gall bladder.,1,The remaining Jackson-Pratt drain was left adjacent to her cystic duct.
Discharge Summary - 4,cystoscopy,Cystoscopy,A procedure where doctors look inside the bladder.,2,"Cystoscopy, bilaterally retrograde pyelograms, insertion of bilateral externalized ureteral stents.,2."
Discharge Summary - Nephrology,cystoscopy,cystoscopy,A procedure where doctors look inside the bladder.,3,"Coronary artery disease.,PROCEDURES: , Robotic-Assisted laparoscopic left renal cyst decortication and cystoscopy.,HISTORY OF PRESENT ILLNESS: , Mr."
Discharge Summary - Urology,cystoscopy,cystoscopy,A procedure where doctors look inside the bladder.,1,The patient had a cystoscopy and transurethral resection of prostate as well with entire resection of the prostate gland.
Discharge Summary - Urology & Nephrology,cystoscopy,Cystoscopy,A procedure where doctors look inside the bladder.,2,"ADMITTING DIAGNOSES:, Solitary left kidney with obstruction, and hypertension, and chronic renal insufficiency.,DISCHARGE DIAGNOSES: , Solitary left kidney with obstruction and hypertension and chronic renal insufficiency, plus a Pseudomonas urinary tract infection.,PROCEDURES: , Cystoscopy under anesthesia, ureteroscopy, an attempted tube placement, stent removal with retrograde pyelography, percutaneous tube placement, and nephrostomy by Radiology.,PERTINENT LABORATORIES: , Creatinine of 1.4."
Urology Discharge Summary,cystourethroscopy,Cystourethroscopy,A procedure to see inside the bladder and urethra up close.,1,"PROCEDURES:, Cystourethroscopy and transurethral resection of prostate.,COMPLICATIONS:, None.,ADMITTING DIAGNOSIS:, Difficulty voiding.,HISTORY:, This 67-year old Hispanic male patient was admitted because of enlarged prostate and symptoms of bladder neck obstruction."
Discharge Summary - 8,cysts,cysts,A cyst is like a little pouch filled with liquid or pus.,3,"CT scan of the abdomen and pelvis July 27, 2007, that revealed multiple small cysts in the liver, the largest measuring 9 mm."
Discharge Summary - 9,cysts,cysts,A cyst is like a little pouch filled with liquid or pus.,1,"She has had abdominal CAT scan and gastric emptying studies which was normal.,A CT scan of the abdomen done on her May 9, 2007, which showed bilateral peripelvic renal cysts and a redundant sigmoid colon."
Discharge Summary - Nephrology,cysts,cysts,A cyst is like a little pouch filled with liquid or pus.,3,ABC is a 70-year-old male who has been diagnosed with a left renal cell carcinoma with multiple renal cysts.
Discharge Summary - Urology,cysts,cysts,A cyst is like a little pouch filled with liquid or pus.,1,"At that time, he was shown to have multiple bilateral renal cysts with one that did not meet classification as a simple cyst and ultrasound was recommended.,He had an ultrasound done of the cyst which showed a 2.1 x 2.7 cm mass arising from the right kidney which, again, did not fit ultrasound criteria for a simple cyst and they recommended further evaluation by an MRI as this could be a hemorrhagic cyst or a solid mass or tumor, so an MRI was scheduled on the day of discharge for further evaluation of this."
Leiomyosarcoma,cytoxan,Cytoxan,A medicine used in cancer treatment that blocks cells from growing.,2,"Cycle six of CIVI-CAD (Cytoxan, Adriamycin, and DTIC) from 07/22/2008 to 07/29/2008.,2."
Chronic Abscesses - Discharge Summary,debridement,debridement,Surgical procedure to remove infected or dead tissue from a wound.,2,"X, was massive debridement of soft tissue, right lateral thigh and hip.,2."
Discharge Summary - ATV Accident,debridement,debridement,Surgical procedure to remove infected or dead tissue from a wound.,3,"In the operating room, the patient was prepared for an irrigation and debridement of what was determined to be an open type 3 subcondylar left distal humerus fracture."
Discharge Summary - Peripheral vascular disease,debridement,debridement,Surgical procedure to remove infected or dead tissue from a wound.,9,"Extensive debridement of right below-knee amputation with debridement of skin, subcutaneous tissue, muscle, and bone on July 17, 2008.,2."
Back Pain - Discharge Summary,decadron,Decadron,Decadron is a drug that reduces swelling and inflammation and belongs to the category of steroids.,2,"He was treated with IV analgesics as well as Decadron, after being evaluated by Dr."
Neck Pain - Discharge Summary,decadron,Decadron,Decadron is a drug that reduces swelling and inflammation and belongs to the category of steroids.,1,"The patient apparently is doing well with slight dysphagia, we treated her with Decadron and we will send her home with Medrol."
Falls - Discharge Summary,decline,decline,Get worse over time or decrease in value.,1,"The patient been getting along for a number of years and has been doing well, but recently has been noting some decline primarily with regards to her depression."
Cardiac Transfer Summary,deconditioning,Deconditioning,Muscle changes due to lack of activity.,1,"Deconditioning.,CONSULTATIONS: , Cardiology.,PROCEDURES:,1."
Discharge Summary - Mesothelioma - 1,decortication,decortication,Decortication is the process of removing the outer layer of an organ.,1,"On August 24, 2007, decortication of the lung with pleural biopsy and transpleural fluoroscopy.,2."
Discharge Summary - Nephrology,decortication,decortication,Decortication is the process of removing the outer layer of an organ.,3,"Coronary artery disease.,PROCEDURES: , Robotic-Assisted laparoscopic left renal cyst decortication and cystoscopy.,HISTORY OF PRESENT ILLNESS: , Mr."
Discharge Summary - Multiple Trauma,decubitus,Decubitus,Decubitus means lying down.,2,"Decubitus ulcer, lower back.,3."
Back Pain - Discharge Summary,deep vein thrombosis prophylaxis,Deep vein thrombosis prophylaxis,Steps to prevent blood clots in the veins.,1,"Deep vein thrombosis prophylaxis will be maintained by the patient, continue to engage in his therapies including ambulating in the halls and doing leg exercises as well.,5."
Discharge Summary - Mesothelioma - 1,deep venous thrombosis,deep venous thrombosis,A blood clot that forms in a deep vein in the body.,1,"PRINCIPAL DIAGNOSIS:, Mesothelioma.,SECONDARY DIAGNOSES:, Pleural effusion, atrial fibrillation, anemia, ascites, esophageal reflux, and history of deep venous thrombosis.,PROCEDURES,1."
Knee Osteoarthrosis - Discharge Summary,deep venous thrombosis,deep venous thrombosis,A blood clot that forms in a deep vein in the body.,1,Mechanical and chemical deep venous thrombosis (DVT) prophylaxis were initiated.
CHF & Pleural Effusion - Discharge Summary,defect,defect,A defect is when something isn't working properly.,1,"An adenosine sestamibi was done in March 2000, with a small fixed apical defect, but no ischemia."
Cholecystitis - Discharge Summary,defect,defect,A defect is when something isn't working properly.,1,It was able to be extravasated into the duodenum with the filling defect consistent with the distal common bile duct stone.
Discharge Summary - COPD,defect,defect,A defect is when something isn't working properly.,1,"Reversible defect suggestive of ischemia, ejection fraction of 55%.,DIAGNOSES ON DISCHARGE:,1."
Prematurity - Discharge Summary,defect,defect,A defect is when something isn't working properly.,1,"Nose and throat are patent without palatal defect.,NECK: Supple without clavicular fracture.,LUNGS: Clear to auscultation.,HEART: Regular rate without murmur, click or gallop present.,EXTREMITIES: Pulses are 2/4 for brachial and femoral."
Discharge Summary - 15,deficit,deficit,Not having enough of something.,1,"Autism.,DIET ON DISCHARGE:, Regular for age.,MEDICATIONS ON DISCHARGE: , Adderall and clonidine for attention deficit hyperactivity disorder.,ACTIVITY ON DISCHARGE: , As tolerated.,DISPOSITION ON DISCHARGE: , Follow up with Dr."
Speech Therapy - Discharge Summary,deficit,deficit,Not having enough of something.,1,"She continues to have an overall mild cognitive-linguistic deficit, but this is significantly improved from her initial evaluation, which showed severe impairment., ,The patient does no longer need a skilled speech therapy because she has accomplished all of her goals and her progress has plateaued."
Cognitive Linguistic Impairment - Discharge,deficits,deficits,Deficits mean not having enough of something.,1,"DIAGNOSIS: , Cognitive linguistic impairment secondary to stroke.,NUMBER OF SESSIONS COMPLETED:, 5,HOSPITAL COURSE: ,The patient is a 73-year-old female who was referred to Medical Center's Outpatient Rehabilitation Department for skilled speech therapy secondary to cognitive linguistic deficits."
ER Report - Chest Pain & Fever,deficits,deficits,Deficits mean not having enough of something.,1,She has not had any musculoskeletal or neurological deficits.
ER Report - Chest Pain & Fever,deformity,deformity,"A deformity is a lasting abnormality in the shape, size, or position of a body part.",1,Musculoskeletal is intact without deformity.
Back Pain - Discharge Summary,degenerative,degenerative,Degenerative means getting weaker or worse over time.,1,"He had been transferred with diagnosis of a back pain secondary to intravertebral lumbar disk disease, secondary to degenerative changes."
Discharge Summary - 17,degenerative,degenerative,Degenerative means getting weaker or worse over time.,1,She complained of some back discomfort and lumbosacral back x-ray did reveal some evidence of mild degenerative disk disease with no obvious compression fracture acute noted and she will be followed by Dr.
Discharge Summary - 12,degenerative joint disease,Degenerative joint disease,Degenerative joint disease is when your joints hurt and swell because the cartilage is wearing away.,1,"Degenerative joint disease.,6."
Knee Surgery - Discharge Summary,degenerative joint disease,degenerative joint disease,Degenerative joint disease is when your joints hurt and swell because the cartilage is wearing away.,3,"CHIEF COMPLAINT:, Decreased ability to perform daily living activities secondary to right knee surgery.,HISTORY OF PRESENT ILLNESS: , The patient is a 61-year-old white female status post right total knee replacement secondary to degenerative joint disease performed by Dr."
Discharge Summary - 15,degree,degree,A degree is a way to measure how wide an angle is.,1,"In the hospital, her weight was 124 pounds, her height 58 inches, temperature 98.0 degree F., pulse 123, respirations 18, blood pressure 148/94."
Discharge Summary - 19,degree,degree,A degree is a way to measure how wide an angle is.,1,"The patient denies any chest pain, nausea, vomiting, fever, chills, shortness of breath, abdominal pain or any urine or bowel problems.,PAST MEDICAL HISTORY: , Can be referred to the H&P dictated in the chart.,PAST SURGICAL HISTORY: , Can be referred to the H&P dictated in the chart.,PHYSICAL EXAMINATION: ,VITAL SIGNS: At the time of discharge temperature 36.6 degree Celsius, pulse rate of 77 per minute, respiratory rate 20 per minute, blood pressure 115/63, and oxygen saturation of 94% on room air.,GENERAL: The patient is a thin built Caucasian female with no pallor, cyanosis or icterus."
Knee Surgery - Discharge Summary,degree,degree,A degree is a way to measure how wide an angle is.,1,"She remarked that she had a better degree of flexibility, but she did report an increased need for pain management."
Neck Pain - Discharge Summary,degree,degree,A degree is a way to measure how wide an angle is.,1,"The patient underwent liver surgery and postoperatively her main issue was that of some degree of on and off right shoulder pain and some operative site soreness, which was treated well with IV morphine."
Gastroenteritis - Discharge Summary,dehydration,Dehydration,When your body doesn't have enough water because you're not drinking enough or losing fluids in various ways.,1,"Dehydration.,DISCHARGE DIAGNOSES,1."
Cholestasis Of Pregnancy,delivery,delivery,When a baby is born.,1,"There was a slightly enlarged blood loss at approximately 1200 mL, and postoperatively, the patient was noted to have a very mild tachycardia coupled with 100.3 degrees Fahrenheit temperature right at delivery."
Intrauterine Pregnancy - Discharge Summary,delivery,delivery,When a baby is born.,1,"Estimated fetal weight was greater than 10 pounds.,HOSPITAL COURSE: ,On the first hospital day, the patient went to the operating room where repeat low transverse cesarean and tubal ligation were performed under spinal anesthesia with delivery of a viable female infant weighing 7 pounds 10 ounces and Apgars of 9 and 9."
Neonatal Discharge Summary,delivery,delivery,When a baby is born.,3,"HOSPITAL COURSE:, The patient is an 1812 g baby boy born by vaginal delivery to a 32-year-old gravida 3, para 2 at 34 weeks of gestation."
Prematurity - Discharge Summary,delivery,delivery,When a baby is born.,3,"Group B streptococcus culture was positive on September 29, 2003, and betamethasone was given 1 dose prior to delivery."
Psychiatric Discharge Summary,delusions,delusions,A delusion is a false belief that a person strongly believes in even if it is not true.,1,"Thoughts remained tangential, and the patient endorsed paranoid delusions."
COPD & Bronchitis - Discharge Summary,dementia,dementia,"Dementia is a condition where a person's mental abilities decline and can worsen over time, leading to changes in memory, mood, personality, and thinking.",1,"Mild senile-type dementia.,5."
Discharge Summary - 17,dementia,dementia,"Dementia is a condition where a person's mental abilities decline and can worsen over time, leading to changes in memory, mood, personality, and thinking.",1,"The patient has a history of moderate-to-severe dementia, Alzheimer's type.,6."
Discharge Summary - Multiple Trauma,dementia,dementia,"Dementia is a condition where a person's mental abilities decline and can worsen over time, leading to changes in memory, mood, personality, and thinking.",1,"Alcohol induced persisting dementia.,4."
Hemiarthroplasty - Discharge Summary,dementia,dementia,"Dementia is a condition where a person's mental abilities decline and can worsen over time, leading to changes in memory, mood, personality, and thinking.",3,"ADMISSION DIAGNOSES: ,Fracture of the right femoral neck, also history of Alzheimer's dementia, and hypothyroidism.,DISCHARGE DIAGNOSES: , Fracture of the right femoral neck, also history of Alzheimer's dementia, hypothyroidism, and status post hemiarthroplasty of the hip.,PROCEDURE PERFORMED: ,Hemiarthroplasty, right hip.,CONSULTATIONS: ,Medicine for management of multiple medical problems including Alzheimer's.,HOSPITAL COURSE: , The patient was admitted on 08/06/2007 after a fall with subsequent fracture of the right hip."
Falls - Discharge Summary,depressed,depressed,Feeling really sad for a long time and not finding joy in things you used to enjoy.,1,Family members who are present state that the patient had been increasingly anxious and freely admitted that she was depressed at home.
Death Summary - 2,depression,Depression,"Feeling really, really sad and not wanting to do things anymore.",2,"Depression.,HISTORY OF PRESENT ILLNESS: , This 92-year-old lady with history of depression and chronic low back pain, osteoporosis, and congestive heart failure, was diagnosed having pneumonia approximately for at least 10 days prior to admission."
Discharge Summary - 18,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",4,"Panic and depression.,8."
Discharge Summary - 19,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",1,"Macrodantin 100 mg orally every six hours for seven days.,ALLERGIES:, Penicillin.,PROGNOSIS: , Improved.,ASSESSMENT AND DISCHARGE PLAN: ,The patient is a 93-year-old Caucasian female with a past medical history of chronic right hip pain, osteoporosis, hypertension, depression, and chronic atrial fibrillation admitted for evaluation and management of severe nausea and vomiting and urinary tract infection.,PROBLEM #1:"
Discharge Summary - 2,depression,Depression,"Feeling really, really sad and not wanting to do things anymore.",1,"Depression.,9."
Discharge Summary - 3,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",1,"Anxiety and depression.,HISTORY OF PRESENT ILLNESS:, Details are present in the dictated report.,BRIEF HOSPITAL COURSE:, The patient is a 71-year-old lady who came in with increased shortness of breath of one day duration."
Falls - Discharge Summary,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",3,"The patient been getting along for a number of years and has been doing well, but recently has been noting some decline primarily with regards to her depression."
Hip Surgery - Discharge Summar,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",2,"Otherwise, she reports some intermittent right calf discomfort and some postoperative right hip pain.,ALLERGIES:, No known drug allergies.,PAST MEDICAL HISTORY:, Anxiety, depression, osteoarthritis, migraine headaches associated with menstrual cycle, history of sciatic pain in the distant past, history of herniated disc, and status post appendectomy.,MEDICATIONS: ,Medications taken at home are Paxil, MOBIC, and Klonopin.,MEDICATIONS ON TRANSFER: , Celebrex, Coumadin, Colace, Fiorinal, oxycodone, Klonopin, and Paxil.,FAMILY HISTORY:, Noncontributory.,SOCIAL HISTORY: , The patient is married."
Intrauterine Pregnancy - Discharge Summary,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",2,"All routine screening labs were normal and she underwent a high-resolution ultrasound during pregnancy.,PAST MEDICAL HISTORY: , Significant for postpartum depression after her last baby as well as a cesarean.,ALLERGIES:, SHE HAS SEASONAL ALLERGIES.,MEDICATIONS:, She is taking vitamins and iron.,PHYSICAL EXAMINATION,GENERAL: An alert gravid woman in no distress.,ABDOMEN: Gravid, nontender, non-irritable, with an infant in the vertex presentation."
Psychiatric Discharge Summary,depression,depression,"Feeling really, really sad and not wanting to do things anymore.",1,"The patient has a history of depression versus bipolar disorder, last hospitalized in Pierce County in 2008, but without recent treatment."
Discharge Summary - 7,dermatomyositis,dermatomyositis,A disease that results in weak muscles and a skin rash due to inflammation.,1,"REASON FOR ADMISSION: , Fever of unknown origin.,HISTORY OF PRESENT ILLNESS: , The patient is a 39-year-old woman with polymyositis/dermatomyositis on methotrexate once a week."
Neonatal Discharge Summary - 1,descending,descending,Moving in a downward direction.,1,"The lab showing normal antegrade flow across the right coronary artery as well as the left main and left anterior descending coronary artery, then the circumflex coronary artery.,CNS:, Infant had a head ultrasound done to rule out intracranial abnormalities and intracranial hemorrhage."
Discharge Summary - 11,diabetes mellitus,diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,2,"ADMISSION DIAGNOSES: , Hyperglycemia, cholelithiasis, obstructive sleep apnea, diabetes mellitus, and hypertension.,DISCHARGE DIAGNOSES: , Hyperglycemia, cholelithiasis, obstructive sleep apnea, diabetes mellitus, hypertension, and cholecystitis.,PROCEDURE: , Laparoscopic cholecystectomy.,SERVICE: , Surgery.,HISTORY OF PRESENT ILLNESS:, Ms."
Discharge Summary - 13,diabetes mellitus,Diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,1,"Diabetes mellitus.,2."
Discharge Summary - 18,diabetes mellitus,Diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,2,"Diabetes mellitus.,4."
Discharge Summary - 2,diabetes mellitus,Diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,2,"Diabetes mellitus.,5."
Discharge Summary - Lymphoma,diabetes mellitus,Diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,2,"Diabetes mellitus.,7."
ESRD - Discharge Summary,diabetes mellitus,Diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,1,"Diabetes mellitus diagnosed 12 years ago.,2."
Multiple Medical Problems - Discharge Summary,diabetes mellitus,diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,1,"Right hemicolectomy.,HOSPITAL COURSE: , The patient is a 59-year-old female with multiple medical problems including diabetes mellitus requiring insulin for 26 years, previous MI and coronary artery disease, history of seizure disorder, GERD, bipolar disorder, and anemia."
Pneumonia & COPD - Discharge Summary,diabetes mellitus,diabetes mellitus,A disease where blood sugar levels are too high due to issues with insulin production or usage in the body.,1,"Hyperglycemia secondary to poorly controlled type ii diabetes mellitus, insulin requiring.,9."
Discharge Summary - COPD,diabetes mellitus type 2,Diabetes mellitus type 2,Type 2 diabetes is a condition where the body struggles to regulate blood sugar levels properly.,2,"Diabetes mellitus type 2.,4."
ER Report - Chest Pain & Fever,diabetes mellitus type 2,diabetes mellitus type 2,Type 2 diabetes is a condition where the body struggles to regulate blood sugar levels properly.,1,"She had a stress test completed on the day of discharge which was normal, and she was discharged with a diagnoses of chest pain, acute myocardial infarction ruled out, urinary tract infection, fever secondary to UTI, diabetes mellitus type 2 non-insulin treated, hyperlipidemia with elevated triglycerides and an LDL elevated to 81 with new normal being less than 70."
ORIF - Discharge Summary,diabetes mellitus type 2,diabetes mellitus type 2,Type 2 diabetes is a condition where the body struggles to regulate blood sugar levels properly.,1,"X and to Internal Medicine for management of multiple medical problems including hypothyroid, diabetes mellitus type 2, bronchitis, and congestive heart failure.,HOSPITAL COURSE: , The patient was admitted and consented for operation, and taken to the operating room for open reduction and internal fixation of right Schatzker III tibial plateau fracture and partial medial meniscectomy performed without incidence."
ER Report - Chest Pain & Fever,diabetes type,Diabetes type,"A condition where blood sugar levels are high due to the body not using insulin properly, commonly found in adults.",1,"Diabetes type II, not treated with insulin.,6."
Gastroenteritis - Discharge Summary,diabetes type,diabetes type,"A condition where blood sugar levels are high due to the body not using insulin properly, commonly found in adults.",1,"X with 25-pack-year history, also a history of diabetes type 2, dyslipidemia, hypertension, hemorrhoids, chronic obstructive pulmonary disease, and a left lower lobe calcified granuloma that apparently is stable at this time."
Death Summary - 2,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"Depression.,HISTORY OF PRESENT ILLNESS: , This 92-year-old lady with history of depression and chronic low back pain, osteoporosis, and congestive heart failure, was diagnosed having pneumonia approximately for at least 10 days prior to admission."
Discharge Summary - 6,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"ABC is a 60-year-old white male veteran with multiple comorbidities, who has a history of bladder cancer diagnosed approximately two years ago by the VA Hospital."
Discharge Summary - Hip Surgery,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"Hepatitis diagnosed by liver biopsy.,6."
Discharge Summary - Lymphoma,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"ABC is a pleasant 60-year-old Caucasian female who was diagnosed in April 2008 with diffuse large B-cell lymphoma after she developed visual saltation, changes, and confusion."
Discharge Summary - Multiple Trauma,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,He was diagnosed with some acute psychosis and thought problems likely related to his alcohol abuse history.
Discharge Summary - Nephrology,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,ABC is a 70-year-old male who has been diagnosed with a left renal cell carcinoma with multiple renal cysts.
Discharge Summary - Urology,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"Pathology on this specimen showed multiple portions of prostatic tissue which was primarily fibromuscular, and he was diagnosed with nonprostatic hyperplasia."
ESRD - Discharge Summary,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"Diabetes mellitus diagnosed 12 years ago.,2."
Renal Disease - Discharge Summary,diagnosed,diagnosed,Figuring out what illness matches a person's symptoms.,1,"Hypertension.,CONDITION ON DISCHARGE: , Stable.,PROCEDURE PERFORMED: , None.,HOSPITAL COURSE: , The patient is a 44-year-old African-American male who was diagnosed with end-stage renal disease requiring hemodialysis three times per week approximately four to five months ago."
Hysterectomy - Discharge Summary - 2,diagnostic studies,DIAGNOSTIC STUDIES,A medical test used to find and determine the type of illness.,1,"She is aware of the future need of Pap smears.,PAST MEDICAL HISTORY: , Past history is significant for seven pregnancies, five term deliveries, and significant past history of tobacco use.,PHYSICAL EXAMINATION: , Physical exam is within normal limits with a taut normal size uterus and a small cervix, status post cone biopsy.,LABORATORY DATA AND DIAGNOSTIC STUDIES: , Chest x-ray was clear."
Discharge Summary - Hemodialysis,dialysis,dialysis,Using a machine to clean waste from the blood when the kidneys are not functioning as they should.,1,He also needed to continue with dialysis and he needed to improve his rehabilitation.
Lap Chole - Discharge Summary,dialysis,dialysis,Using a machine to clean waste from the blood when the kidneys are not functioning as they should.,2,"Y and the patient should need cholecystectomy, but the patient also needs dialysis and also needs to be cleared by the cardiologist, so the patient later on seen by Dr."
Renal Disease - Discharge Summary,dialysis,dialysis,Using a machine to clean waste from the blood when the kidneys are not functioning as they should.,1,Nephrology was able to perform dialysis on the patient and Renal concurred that the presyncopal symptoms were likely due to decreased intravascular volume in the postdialytic time frame.
COPD - Discharge Summary,diaphoresis,diaphoresis,Heavy sweating.,1,"At the time of admission, he denied fever, diaphoresis, nausea, chest pain or other systemic symptoms.,PAST MEDICAL HISTORY: , Status post artificial aortic valve implantation in summer of 2002 and is on chronic Coumadin therapy."
Renal Disease - Discharge Summary,diaphoresis,diaphoresis,Heavy sweating.,1,"He denied any palpitations, warmth, or diaphoresis, which is indicative of vasovagal syncope."
Back Pain - Discharge Summary,diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",1,"Denies chest pain palpitations, hemoptysis, shortness of breath, nausea, vomiting, diarrhea, constipation or hematemesis."
Discharge Summary - 14,diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",1,"HISTORY OF PRESENT ILLNESS: , The patient is a 60-year-old female patient who off and on for the past 10 to 12 months has had almost daily diarrhea, nausea, inability to eat."
Discharge Summary - 15,diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",1,"She developed vomiting 3 days prior to admission, but did not have diarrhea."
Discharge Summary - 18,diarrhea,Diarrhea,"Having loose, watery poop with cramps and bloating.",4,"Diarrhea.,7."
Discharge Summary - 4,diarrhea,Diarrhea,"Having loose, watery poop with cramps and bloating.",5,"DATE OF ADMISSION: , MM/DD/YYYY.,DATE OF DISCHARGE: , MM/DD/YYYY.,ADMITTING DIAGNOSIS:, Peritoneal carcinomatosis from appendiceal primary.,DISCHARGE DIAGNOSIS: , Peritoneal carcinomatosis from appendiceal primary.,SECONDARY DIAGNOSIS: , Diarrhea.,ATTENDING PHYSICIAN: , AB CD, M.D.,SERVICE: , General surgery C, Surgery Oncology.,CONSULTING SERVICES:, Urology.,PROCEDURES DURING THIS HOSPITALIZATION:, On MM/DD/YYYY, ,1."
Discharge Summary - Peripheral vascular disease,diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",1,"Following his procedure on July 28, 2008, The patient began having recurrent episodes of diarrhea, prompting stool cultures and C."
ER Report - Chest Pain & Fever,diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",1,"The patient denies nosebleed, visual changes, nausea, vomiting, diarrhea or changes in bowel habits."
Gastroenteritis - Discharge Summary,diarrhea,Diarrhea,"Having loose, watery poop with cramps and bloating.",3,"Diarrhea.,5."
Hip Surgery - Discharge Summar,diarrhea,diarrhea,"Having loose, watery poop with cramps and bloating.",1,"She denies any nausea, vomiting, or diarrhea, but reports as being constipated with the last bowel movement being on 08/26/2007 prior to surgery."
CHF & Pleural Effusion - Discharge Summary,diastolic,diastolic,When the heart takes a break between beats.,1,This revealed an ejection fraction of 60% with diastolic dysfunction and periaortic stenosis with an opening of 1 cm3.
CVA - Discharge Summary,diastolic,diastolic,When the heart takes a break between beats.,1,"An echocardiogram revealed mild concentric LVH with normal left ventricular function with an EF of 57%, moderate left atrial enlargement and diastolic dysfunction with mild mitral regurgitation."
Discharge Summary,diastolic,Diastolic,When the heart takes a break between beats.,2,"Diastolic dysfunction.,X-ray on discharge did not show any congestion and pro-BNP is normal.,SECONDARY DIAGNOSES:,1."
Discharge Summary - 1,diastolic,diastolic,When the heart takes a break between beats.,2,"labetalol only for systolic blood pressure greater than 200, diastolic blood pressure greater than 120."
Discharge Summary - 1,diffuse,Diffuse,Spread out instead of concentrated.,2,"On 3/26/2006, MRI/MRA of the neck and brain, with and without contrast: 1) Changes consistent with an infarct involving the right basal ganglia and deep white matter of the left parietal lobe, as described above; 2) Diffuse smooth narrowing of the left middle cerebral artery that may be a congenital abnormality."
Discharge Summary - 7,diffuse,diffuse,Spread out instead of concentrated.,1,The process was not diffuse.
Discharge Summary - Lymphoma,diffuse,diffuse,Spread out instead of concentrated.,1,"ABC is a pleasant 60-year-old Caucasian female who was diagnosed in April 2008 with diffuse large B-cell lymphoma after she developed visual saltation, changes, and confusion."
Discharge Summary - Migraine,diffuse,diffuse,Spread out instead of concentrated.,1,"She states the headache had for the most part resolved though she continues to have some diffuse trigger point pain.,PHYSICAL EXAMINATION AT THE TIME OF DISCHARGE: , General physical exam was unremarkable."
Hip Surgery - Discharge Summar,diffuse,diffuse,Spread out instead of concentrated.,1,"There is diffuse edema, which extends distally."
Knee Surgery - Discharge Summary,diffuse,diffuse,Spread out instead of concentrated.,1,There is some diffuse right knee edema and some limited ecchymosis as well.
Pneumonia - Discharge Summary,diffuse,diffuse,Spread out instead of concentrated.,1,Initial x-ray showed some mild diffuse patchy infiltrates.
Discharge Summary - 14,diffusely,diffusely,Spread out all over the place.,1,"The patient presented to our emergency room for worsening abdominal pain as well as swelling of the right lower leg.,PAST MEDICAL HISTORY: , Extensive and well documented in prior charts.,PHYSICAL EXAMINATION: , Abdomen was diffusely tender."
Discharge Summary - Migraine,diffusely,diffusely,Spread out all over the place.,1,"The patient does have notable trigger points diffusely including the occiput, trapezius bilaterally, lumbar, back, and sacrum."
Discharge Summary - Peripheral vascular disease,diffusely,diffusely,Spread out all over the place.,1,A chest x-ray revealed bilateral pleural effusions and bibasilar atelectasis in addition to some pulmonary edema diffusely.
Discharge Summary - 12,digitalis,digitalis,A medication made from dried foxglove leaves used to help with certain heart problems.,2,She also has renal insufficiency and digitalis toxicity.
COPD & Bronchitis - Discharge Summary,digoxin,Digoxin,A medication that helps with heartbeat issues and certain heart problems.,1,Digoxin was 1.3.
Cardio/Pulmo Discharge Summary,digoxin,Digoxin,A medication that helps with heartbeat issues and certain heart problems.,2,"With this, the patient was placed on increased doses of Lisinopril and Digoxin, with improvement of his respiratory status."
Discharge Summary - 12,digoxin,Digoxin,A medication that helps with heartbeat issues and certain heart problems.,3,"Digoxin level of 4.1.,HOSPITAL COURSE: , The patient was admitted and intravenous fluids and antibiotics were administered."
Pneumonia & COPD - Discharge Summary,digoxin,digoxin,A medication that helps with heartbeat issues and certain heart problems.,2,digoxin.
