medical_term,plain_language_explanation,filtering_method
condylar,Refers to the smooth rounded surface at the end of a bone forming part of a joint.,README-based filtered glossary with task-specific patient-facing relevance filtering
condyle,A rounded bump on a bone that helps connect it to another bone.,README-based filtered glossary with task-specific patient-facing relevance filtering
condyles,Condyles are rounded knobs on bones that help form joints with other bones.,README-based filtered glossary with task-specific patient-facing relevance filtering
condyloma,A raised growth on male or female genitals caused by HPV.,README-based filtered glossary with task-specific patient-facing relevance filtering
condylomas,Bumps on genitals caused by HPV.,README-based filtered glossary with task-specific patient-facing relevance filtering
cone,It's the part of your eye that helps you see in different lighting conditions.,README-based filtered glossary with task-specific patient-facing relevance filtering
cones,Cones are eye parts that help us see colors and fine details.,README-based filtered glossary with task-specific patient-facing relevance filtering
configuration,How something is arranged.,README-based filtered glossary with task-specific patient-facing relevance filtering
confluence,Confluence is where things come together and connect.,README-based filtered glossary with task-specific patient-facing relevance filtering
confused,Being confused means not being able to think clearly.,README-based filtered glossary with task-specific patient-facing relevance filtering
confusion,Feeling mixed up and unable to think straight.,README-based filtered glossary with task-specific patient-facing relevance filtering
congenital,A condition that you have had since you were born.,README-based filtered glossary with task-specific patient-facing relevance filtering
congenital anomaly,A genetic issue that is present from birth.,README-based filtered glossary with task-specific patient-facing relevance filtering
congenital heart defect,A heart problem that is there from birth.,README-based filtered glossary with task-specific patient-facing relevance filtering
congenital heart defects,Issues with the heart’s structure that are present from birth.,README-based filtered glossary with task-specific patient-facing relevance filtering
congenital heart disease,A heart problem a person is born with.,README-based filtered glossary with task-specific patient-facing relevance filtering
congenitally,Being born with a disease.,README-based filtered glossary with task-specific patient-facing relevance filtering
congest,Getting too crowded with blood or mucus.,README-based filtered glossary with task-specific patient-facing relevance filtering
congested,Feeling stuffy because there's too much mucus in your nose.,README-based filtered glossary with task-specific patient-facing relevance filtering
congestion,Congestion happens when your nose gets stuffy and makes it hard to breathe.,README-based filtered glossary with task-specific patient-facing relevance filtering
congestive,Related to or caused by blockage or buildup in a part of the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
congo red,A stain used in the lab to identify amyloid and certain germs.,README-based filtered glossary with task-specific patient-facing relevance filtering
conization,A conization is a procedure where a cone-shaped piece of tissue is removed from the cervix to get rid of abnormal tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjugate,A compound formed by combining two or more different substances.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjugated,A substance made by combining two or more different substances chemically.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjugated bilirubin,"A type of bilirubin that has a sugar group attached to it, making it easier to dissolve and is commonly used in liver tests.",README-based filtered glossary with task-specific patient-facing relevance filtering
conjunction,Joining two things together.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjunctiva,A membrane that covers the eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjunctivae,The conjunctivae are the tissues surrounding the eyeball and inner lid.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjunctival,Related to the thin membrane that covers the eyeball and the inside of the eyelid.,README-based filtered glossary with task-specific patient-facing relevance filtering
conjunctivitis,"When the thin layer over your eye turns red and swollen, it's called conjunctivitis.",README-based filtered glossary with task-specific patient-facing relevance filtering
connection,When things are linked together.,README-based filtered glossary with task-specific patient-facing relevance filtering
connective,Tissue in the body that connects and supports organs.,README-based filtered glossary with task-specific patient-facing relevance filtering
connective tissue,Connective tissue is like the glue that holds your organs together in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
conscious,Being awake and aware of your surroundings.,README-based filtered glossary with task-specific patient-facing relevance filtering
conscious sedation,"Medication given to a patient to make them lightly sedated and forgetful during a procedure, but they are not fully unconscious.",README-based filtered glossary with task-specific patient-facing relevance filtering
consensus,When everyone agrees on something.,README-based filtered glossary with task-specific patient-facing relevance filtering
consent form,A paper you sign before getting medical treatment that says you agree to it.,README-based filtered glossary with task-specific patient-facing relevance filtering
consent process,Consent process is when patients get details and agree to a medical procedure by signing a form.,README-based filtered glossary with task-specific patient-facing relevance filtering
consequences,"Results, effects, impacts.",README-based filtered glossary with task-specific patient-facing relevance filtering
consistency,How predictable and uniform something is.,README-based filtered glossary with task-specific patient-facing relevance filtering
consolida,Consolida means when a part of the lung which is usually open and filled with air changes to become dense.,README-based filtered glossary with task-specific patient-facing relevance filtering
constipate,When it's hard to poop because your poop is too dry and hard.,README-based filtered glossary with task-specific patient-facing relevance filtering
constipated,"When you're constipated, your poop is hard and difficult to pass.",README-based filtered glossary with task-specific patient-facing relevance filtering
constipation,When it's hard to go to the bathroom because the poop is dry and doesn't come out easily.,README-based filtered glossary with task-specific patient-facing relevance filtering
constipations,When you have trouble passing dry and hard bowel movements.,README-based filtered glossary with task-specific patient-facing relevance filtering
constrict,To get smaller.,README-based filtered glossary with task-specific patient-facing relevance filtering
constricted,To make something smaller.,README-based filtered glossary with task-specific patient-facing relevance filtering
constricting,Making something smaller.,README-based filtered glossary with task-specific patient-facing relevance filtering
constriction,Constriction is when an area gets squeezed or tightened.,README-based filtered glossary with task-specific patient-facing relevance filtering
constrictions,A constrictions mean a squeezing of a place.,README-based filtered glossary with task-specific patient-facing relevance filtering
constrictor,A muscle that helps move food down when you swallow.,README-based filtered glossary with task-specific patient-facing relevance filtering
constrictor muscles,Muscles in the throat that help push food down when you swallow.,README-based filtered glossary with task-specific patient-facing relevance filtering
consult,To ask a doctor for advice or talk with them.,README-based filtered glossary with task-specific patient-facing relevance filtering
consultant,Someone who gives advice on a specific topic.,README-based filtered glossary with task-specific patient-facing relevance filtering
consultations,A consultation is when you meet with an expert to get advice.,README-based filtered glossary with task-specific patient-facing relevance filtering
consulting,Getting advice from an expert in a meeting or other form of contact.,README-based filtered glossary with task-specific patient-facing relevance filtering
consults,To seek advice from a doctor.,README-based filtered glossary with task-specific patient-facing relevance filtering
consumption,Consumption means eating or drinking.,README-based filtered glossary with task-specific patient-facing relevance filtering
contact dermatitis,A skin rash from something touching your skin that might be irritating or triggering an allergic reaction.,README-based filtered glossary with task-specific patient-facing relevance filtering
contagion,A contagion is a sickness that spreads through germs.,README-based filtered glossary with task-specific patient-facing relevance filtering
contagious,When germs easily spread to others.,README-based filtered glossary with task-specific patient-facing relevance filtering
contaminant,Contaminant: Something unwanted that can harm stuff.,README-based filtered glossary with task-specific patient-facing relevance filtering
contaminate,Contaminate means when something harmful gets mixed into something else.,README-based filtered glossary with task-specific patient-facing relevance filtering
contaminated,"When something is contaminated, it means it has been exposed to harmful substances or organisms that don't belong there.",README-based filtered glossary with task-specific patient-facing relevance filtering
contiguous,Contiguous means things are touching or really close together.,README-based filtered glossary with task-specific patient-facing relevance filtering
continuity of care,Continuity of care means that the patient and healthcare providers work together over time to enhance the patient's health.,README-based filtered glossary with task-specific patient-facing relevance filtering
continuous,Continuous means something that never stops or has interruptions.,README-based filtered glossary with task-specific patient-facing relevance filtering
continuous renal replacement therapy,A treatment that helps clean the blood by functioning like the kidneys.,README-based filtered glossary with task-specific patient-facing relevance filtering
continuum of care,A continuum of care in medicine is about providing healthcare services consistently and progressively over time.,README-based filtered glossary with task-specific patient-facing relevance filtering
contoured,Crafted to fit a specific shape.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraception,A way to prevent getting pregnant.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraceptive,A contraceptive stops a woman from getting pregnant.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraceptives,Medicines that help avoid getting pregnant.,README-based filtered glossary with task-specific patient-facing relevance filtering
contractility,It's the ability for something to contract and move.,README-based filtered glossary with task-specific patient-facing relevance filtering
contracture,Contracture is what happens when your muscles and skin near a joint tighten up and make it hard to move.,README-based filtered glossary with task-specific patient-facing relevance filtering
contractured,"A condition where muscles and skin near joints tighten up permanently, making the joints stiff.",README-based filtered glossary with task-specific patient-facing relevance filtering
contractures,Contractures are when your joints get really stiff and don't move properly because the surrounding tissues have tightened up.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraindicate,Not recommended for use with the patient's current conditions.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraindicated,Not recommended for the patient's current conditions.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraindication,A contraindication is when a treatment shouldn't be given because it could harm the person.,README-based filtered glossary with task-specific patient-facing relevance filtering
contraindications,When a treatment should not be used because it might harm someone.,README-based filtered glossary with task-specific patient-facing relevance filtering
contralateral,Something happening on the other side of your body.,README-based filtered glossary with task-specific patient-facing relevance filtering
contrast,It's a substance used in medical imaging to highlight specific areas inside the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
contrast material,A substance used to help highlight abnormal areas during medical imaging.,README-based filtered glossary with task-specific patient-facing relevance filtering
contrast medium,A substance used to highlight problem areas in the body during medical imaging tests.,README-based filtered glossary with task-specific patient-facing relevance filtering
contrast-enhanced,A clearer image made by using a drug to highlight details.,README-based filtered glossary with task-specific patient-facing relevance filtering
contrecoup,Contrecoup: A brain injury caused by an impact on the opposite side of the head.,README-based filtered glossary with task-specific patient-facing relevance filtering
conus medullaris,The Conus medullaris is the bottom part of the spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
convalesce,Time spent getting better after being sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
convalescing,Recovering after being sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
convection,Moving heat through liquids or gases.,README-based filtered glossary with task-specific patient-facing relevance filtering
conversion,Conversion is when something is changed into something different.,README-based filtered glossary with task-specific patient-facing relevance filtering
convulsions,"Convulsions are when your muscles quickly tense and relax, making your body shake uncontrollably.",README-based filtered glossary with task-specific patient-facing relevance filtering
coordinate care,Making sure different healthcare services work together for a patient.,README-based filtered glossary with task-specific patient-facing relevance filtering
coordinating care,Arranging medical services for a patient.,README-based filtered glossary with task-specific patient-facing relevance filtering
copd,A chronic lung condition that makes it hard to breathe and worsens with time.,README-based filtered glossary with task-specific patient-facing relevance filtering
cor pulmonale,"When your heart gets sick because of your lung problem, it's called cor pulmonale.",README-based filtered glossary with task-specific patient-facing relevance filtering
cord blood,The blood in the umbilical cord and placenta after a baby is born that contains useful stem cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cord compression,Pressure on the spinal cord caused by various medical issues like tumors or fractures.,README-based filtered glossary with task-specific patient-facing relevance filtering
core,Collecting a cylindrical tissue sample by inserting a needle through the skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
core needle biopsy,A core needle biopsy is when a doctor uses a thicker needle to take a sample of tissue for further examination.,README-based filtered glossary with task-specific patient-facing relevance filtering
cornea,Clear front part of the eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
corneal,Related to the clear front part of the eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
corneal abrasion,A scratch on the surface of the eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
corneal edema,"Fluid in the cornea of the eye that causes swelling, haziness, and decreased vision.",README-based filtered glossary with task-specific patient-facing relevance filtering
corneas,Clear layers over the front of your eye.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronaries,Blood vessels that give the heart its necessary blood supply.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary,Coronary means related to the blood vessels that nourish the heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary arteries,Arteries that deliver blood to the heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary artery,Arteries that bring blood to your heart.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary artery .,A blood vessel that carries blood from the heart to the rest of the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary artery bypass,Surgery to create new pathways for blood flow to the heart when the original arteries are blocked.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary artery bypass graft,Heart surgery to create a detour around a blocked artery.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary artery bypass grafting,Heart surgery to redirect blood flow by adding a new vein to avoid blockages.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary artery stenting,A tube placed in a heart artery to keep it open during a medical procedure.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary care unit,"A special hospital wing for people with heart problems, where they receive round-the-clock monitoring and care.",README-based filtered glossary with task-specific patient-facing relevance filtering
coronary disease,A condition where blood vessels bringing blood to the heart get clogged or narrowed.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary heart disease,A condition where the blood vessels supplying blood and oxygen to the heart are narrowed or blocked.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary ischemia,Heart not getting enough blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary ischemic disease,Heart not getting enough blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary sinus,It's a big vein where blood from the heart muscle collects.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary stenting,Putting a tube in a heart artery to clear a blockage.,README-based filtered glossary with task-specific patient-facing relevance filtering
coronary thrombosis,A clot blocking blood flow to the heart is called coronary thrombosis.,README-based filtered glossary with task-specific patient-facing relevance filtering
corpora cavernosa,Spongy chambers in the penis that fill with blood to cause an erection.,README-based filtered glossary with task-specific patient-facing relevance filtering
corpus callosum,The corpus callosum is a big bundle of nerve fibers that connects the two halves of the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
correlation,Connection between two or more things.,README-based filtered glossary with task-specific patient-facing relevance filtering
cortex,The cortex is the outer layer of an organ.,README-based filtered glossary with task-specific patient-facing relevance filtering
cortical,Cortical means relating to the outer layer of an organ like the brain or kidney.,README-based filtered glossary with task-specific patient-facing relevance filtering
cortical bone,The hard outer layer of bone that protects the inner cavity.,README-based filtered glossary with task-specific patient-facing relevance filtering
cortical screws,A screw that is used to secure bones.,README-based filtered glossary with task-specific patient-facing relevance filtering
corticosteroid,"Medications that help with pain, redness, and swelling by reducing inflammatory reactions.",README-based filtered glossary with task-specific patient-facing relevance filtering
cortisone,A substance that occurs naturally in the body and is also used as a medication for inflammation and allergies.,README-based filtered glossary with task-specific patient-facing relevance filtering
corynebacterium,A type of bacteria that can make you sick.,README-based filtered glossary with task-specific patient-facing relevance filtering
costophrenic,Costophrenic means having to do with the ribs and diaphragm.,README-based filtered glossary with task-specific patient-facing relevance filtering
costophrenic angles,Where the diaphragm meets the ribs.,README-based filtered glossary with task-specific patient-facing relevance filtering
costovertebral,It's about the connection between your ribs and spine.,README-based filtered glossary with task-specific patient-facing relevance filtering
coumadin,A blood thinner medication called Coumadin or warfarin used to treat and prevent blood clots.,README-based filtered glossary with task-specific patient-facing relevance filtering
counselling,Helping someone make changes in their life by talking to them.,README-based filtered glossary with task-specific patient-facing relevance filtering
coxiella burnetii,A bacterium that can make you sick with Q fever.,README-based filtered glossary with task-specific patient-facing relevance filtering
cpap,A CPAP machine is a treatment that helps keep your airways open by gently blowing air into your nose and mouth.,README-based filtered glossary with task-specific patient-facing relevance filtering
cpk,High CPK levels in a blood test could mean there's tissue damage.,README-based filtered glossary with task-specific patient-facing relevance filtering
cpr,CPR is used to restart someone's heart in an emergency.,README-based filtered glossary with task-specific patient-facing relevance filtering
cpt code,A code used to represent various medical procedures for record-keeping and insurance claims.,README-based filtered glossary with task-specific patient-facing relevance filtering
cr,"Creatinine is a waste product produced by muscles and removed from the blood by the kidneys, with elevated levels indicating potential kidney problems.",README-based filtered glossary with task-specific patient-facing relevance filtering
crack,A smokable form of cocaine known in slang as crack.,README-based filtered glossary with task-specific patient-facing relevance filtering
crackle,Crackling is when you hear crackling noises in your lungs when you breathe.,README-based filtered glossary with task-specific patient-facing relevance filtering
crackles,Sounds in your lungs that are like clicking or rattling noises.,README-based filtered glossary with task-specific patient-facing relevance filtering
cramps,Stabbing pain when a muscle suddenly tightens up.,README-based filtered glossary with task-specific patient-facing relevance filtering
cranial,Related to your head bone.,README-based filtered glossary with task-specific patient-facing relevance filtering
cranial cavity,Space inside your head that holds your brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
cranial nerve,A cranial nerve is one of the 12 nerves stemming directly from the brain and connecting to various parts of the head and body.,README-based filtered glossary with task-specific patient-facing relevance filtering
cranial nerve 2,A nerve that carries info from the eye to the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
cranial nerves,Nerves that transmit signals from the eye to the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
cranial nerves 2,These are the nerve pathways that carry signals from your eyes to your brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
craniectomies,Surgery to remove part of the skull to reduce pressure on the brain.,README-based filtered glossary with task-specific patient-facing relevance filtering
craniectomy,Craniectomy is a surgery where part of the skull is removed.,README-based filtered glossary with task-specific patient-facing relevance filtering
craniofacial,The bones of the head and face.,README-based filtered glossary with task-specific patient-facing relevance filtering
craniotomies,Surgery to remove part of the skull.,README-based filtered glossary with task-specific patient-facing relevance filtering
craniotomy,Removing part of the skull during surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
creatine phosphokinase,High levels of this protein in your blood can mean that your muscles or other tissues have been damaged.,README-based filtered glossary with task-specific patient-facing relevance filtering
creatinine,Creatinine is a byproduct of muscle activity that the kidneys filter out of the blood; high levels can indicate kidney problems.,README-based filtered glossary with task-specific patient-facing relevance filtering
creatinine clearance,A creatinine clearance test checks your kidney function.,README-based filtered glossary with task-specific patient-facing relevance filtering
creatinines,"A substance produced by muscles and removed from the blood by the kidneys, with elevated levels indicating potential kidney issues.",README-based filtered glossary with task-specific patient-facing relevance filtering
credentials,Proof that you know your stuff.,README-based filtered glossary with task-specific patient-facing relevance filtering
crepitance,A crackling sound in your lungs or joints.,README-based filtered glossary with task-specific patient-facing relevance filtering
crepitant,Crackling sound made in the lungs or joint.,README-based filtered glossary with task-specific patient-facing relevance filtering
crh,A hormone from the brain regulating your stress levels.,README-based filtered glossary with task-specific patient-facing relevance filtering
cricoid cartilages,The round cartilage in the voice box.,README-based filtered glossary with task-specific patient-facing relevance filtering
crigler-najjar syndrome,A rare genetic disorder that leads to high levels of a toxic substance in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
crime,Breaking the law is what crime means.,README-based filtered glossary with task-specific patient-facing relevance filtering
crisis,A crisis is a serious situation that suddenly gets much worse and needs urgent help.,README-based filtered glossary with task-specific patient-facing relevance filtering
critical care,Treating patients with severe medical conditions.,README-based filtered glossary with task-specific patient-facing relevance filtering
crohn 's,Crohn's is a condition that inflames the digestive tract and leads to symptoms like stomach pain and diarrhea.,README-based filtered glossary with task-specific patient-facing relevance filtering
crohn 's disease,A condition that can damage the gut lining causing symptoms like stomach pain and diarrhea.,README-based filtered glossary with task-specific patient-facing relevance filtering
cross section,A cross section is like a slice through something like a structure or tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
cross sections,"Cross sections are like slices through something, like cutting a piece of cake to see the layers inside.",README-based filtered glossary with task-specific patient-facing relevance filtering
cross-sectioned,A cross-section is a sliced view through something like a structure or tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
croup,When a young child's upper airways narrow.,README-based filtered glossary with task-specific patient-facing relevance filtering
crown rump length,The measurement from the top of an unborn baby's head to the bottom of its torso.,README-based filtered glossary with task-specific patient-facing relevance filtering
crowns,A crown is a fake cap used to replace a damaged tooth.,README-based filtered glossary with task-specific patient-facing relevance filtering
crp,A protein in your blood to show inflammation in your body.,README-based filtered glossary with task-specific patient-facing relevance filtering
cruciate ligaments,Knee stabilizing tissues called cruciate ligaments.,README-based filtered glossary with task-specific patient-facing relevance filtering
crural,Having to do with the leg.,README-based filtered glossary with task-specific patient-facing relevance filtering
cryoglobulinemia,Abnormal proteins in the blood that clump when it's cold and can block blood flow.,README-based filtered glossary with task-specific patient-facing relevance filtering
cryoglobulins,Proteins in the blood that can clump and cause circulation issues at colder temperatures.,README-based filtered glossary with task-specific patient-facing relevance filtering
cryotherapy,A treatment that uses extreme cold to freeze and remove tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
cryptococcal meningitis,A sickness affecting the tissues around the brain and spinal cord caused by a type of fungi.,README-based filtered glossary with task-specific patient-facing relevance filtering
cryptosporidia,A parasite that gives you diarrhea.,README-based filtered glossary with task-specific patient-facing relevance filtering
crystalloid,A saline solution used to replenish fluids in the bloodstream when there's a shortage due to conditions like bleeding or surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
csf,A fluid found in the brain and spine that is clear and colorless.,README-based filtered glossary with task-specific patient-facing relevance filtering
csf culture,CSF culture is a way to test the fluid that surrounds the brain and spinal cord.,README-based filtered glossary with task-specific patient-facing relevance filtering
ct,CT is a type of special x-ray that creates detailed images of the inside of the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
ct angiogram,It's a medical test that uses a CT scan and dye to take pictures of blood vessels in your body.,README-based filtered glossary with task-specific patient-facing relevance filtering
ct scan,A CT scan is a detailed x-ray that shows a clear picture inside the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
ct-guided biopsy,Getting a sample from your body using special imaging like CT scans.,README-based filtered glossary with task-specific patient-facing relevance filtering
cta,CTA is a technique that captures pictures of blood vessels and their flow in the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
cuboid,A cuboid is a bone in the foot.,README-based filtered glossary with task-specific patient-facing relevance filtering
cuff,A cuff is the connecting tissues between muscles and bones in the shoulder area.,README-based filtered glossary with task-specific patient-facing relevance filtering
culture-proven,The presence of microbes in a sample is determined by growing them in the lab.,README-based filtered glossary with task-specific patient-facing relevance filtering
cumulative,The total or combined amount.,README-based filtered glossary with task-specific patient-facing relevance filtering
cumulative dose,Cumulative dose is the total amount of a drug given to a patient over time.,README-based filtered glossary with task-specific patient-facing relevance filtering
cure,To cure is to heal or completely remedy something.,README-based filtered glossary with task-specific patient-facing relevance filtering
curet,A curet is a tool that doctors use to scrape and remove tissue during surgery.,README-based filtered glossary with task-specific patient-facing relevance filtering
curettage,Curettage is the removal of tissue using a spoon-shaped tool with a sharp edge.,README-based filtered glossary with task-specific patient-facing relevance filtering
curette,A curette is a tool used in surgeries to scrape and remove tissue.,README-based filtered glossary with task-specific patient-facing relevance filtering
curetted,Scraped with a special tool called a curette.,README-based filtered glossary with task-specific patient-facing relevance filtering
curettes,A tool that scrapes or removes tissue during surgery for a biopsy.,README-based filtered glossary with task-specific patient-facing relevance filtering
cushing disease,A condition where the body produces too much of a hormone called cortisol.,README-based filtered glossary with task-specific patient-facing relevance filtering
cusp,The cusp is the raised part of a tooth's biting surface.,README-based filtered glossary with task-specific patient-facing relevance filtering
cut section,A small piece of tissue sliced for detailed examination using a microscope.,README-based filtered glossary with task-specific patient-facing relevance filtering
cutaneous,Cutaneous means related to the skin.,README-based filtered glossary with task-specific patient-facing relevance filtering
cxr,It's a photo of the stuff in your chest.,README-based filtered glossary with task-specific patient-facing relevance filtering
cxrs,A chest X-ray shows what's going on inside your chest.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyanosis,Skin turning blue due to lack of oxygen in the blood.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyanotic,"When someone looks bluish, it means they're not getting enough oxygen.",README-based filtered glossary with task-specific patient-facing relevance filtering
cyber knife,A robotic device that delivers precise radiation to a specific target in small doses.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyclic,Cyclic means repeating in a continuous loop.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyclobenzaprine,Cyclobenzaprine is a medication that helps relax muscles and alleviate pain and stiffness from muscle spasms.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyclophosphamide,A drug used to treat various types of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyclosporin,A drug that helps stop the body from rejecting organ transplants.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyclosporine,A drug that helps lower the chance of rejection after organ transplants.,README-based filtered glossary with task-specific patient-facing relevance filtering
cyst,A cyst is a fluid-filled sac or pocket.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystadenofibroma,A harmless growth in the ovary made up of different types of cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystic,"""Having to do with a sac-like structure called a cyst.""",README-based filtered glossary with task-specific patient-facing relevance filtering
cystic duct,A tube that moves bile from the gall bladder.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystitis,A bladder infection that causes pain with urination.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystitis cystica,"A bladder problem caused by irritation from infection or other issues, often treated with antibiotics.",README-based filtered glossary with task-specific patient-facing relevance filtering
cystocele,When the bladder bulges into the vagina due to a weakened wall between the two.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystoprostatectomy,A surgery to remove both the bladder and the prostate.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystoscoped,A procedure where doctors look inside the bladder.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystoscopic,A cystoscopic procedure involves inserting a tube-like camera through the urethra to examine the bladder.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystoscopy,A procedure where doctors look inside the bladder.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystostomy,A surgery to create a direct way to remove urine from the bladder using a tube.,README-based filtered glossary with task-specific patient-facing relevance filtering
cystourethroscopy,A procedure to see inside the bladder and urethra up close.,README-based filtered glossary with task-specific patient-facing relevance filtering
cysts,A cyst is like a little pouch filled with liquid or pus.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytarabine,A medication that is used to treat certain types of cancer.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytochrome oxidase,A cell enzyme that plays a key role in generating energy.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytogenetic,Cytogenetic is the study of chromosomes and changes using a microscope.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytogenetic analysis,Studying chromosomes and their changes using a microscope.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytogeneticist,A cytogeneticist studies chromosomes in cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytokines,Chemicals made by the immune system cells to defend the body.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytologic,Checking a sample under a microscope to learn about organs or cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytology,Cytology is the study of cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytolytic,Being able to destroy cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytomorphology,The study of the structure of cell interiors.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytopathology,Investigating cells from various body areas to detect signs of disease.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytopenia,A condition where the number of blood cells is lower than usual.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytopenias,Cytopenias means having fewer blood cells than you should.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytoplasm,"The inside material of a cell, without the nucleus.",README-based filtered glossary with task-specific patient-facing relevance filtering
cytoplasmic,The gooey stuff inside a cell.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytoreduction,"Reducing the number of cells, which can be helpful in cancer treatment.",README-based filtered glossary with task-specific patient-facing relevance filtering
cytoreductive,A cytoreductive operation is a surgery done on cancer patients to remove as much of a tumor as they can.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytosine,A substance in our cells that helps make up DNA.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytotoxic chemotherapy,Chemotherapy drugs that kill cancer cells.,README-based filtered glossary with task-specific patient-facing relevance filtering
cytoxan,A medicine used in cancer treatment that blocks cells from growing.,README-based filtered glossary with task-specific patient-facing relevance filtering
dalteparin,A medication for treating and preventing blood clots.,README-based filtered glossary with task-specific patient-facing relevance filtering
danazol,A medication used to treat abnormal growth of tissue from the womb.,README-based filtered glossary with task-specific patient-facing relevance filtering
dandruff,Dandruff is when dead skin cells from the scalp flake off into the hair.,README-based filtered glossary with task-specific patient-facing relevance filtering
daptomycin,A medicine that fights bacterial infections.,README-based filtered glossary with task-specific patient-facing relevance filtering
darbepoetin,A drug for low red blood cell levels.,README-based filtered glossary with task-specific patient-facing relevance filtering
