sample_index,sample_name,status,text_length,detected_term_count,unique_detected_term_count,unique_detected_terms,citation_count,question_count,baseline_check_status,baseline_warning_count,baseline_warning_categories,error_message
82, Death Summary - 2 ,success,1994,33,33,acute on chronic; antibiotics; basilar; bilateral; blood pressure; cardiac arrest; chronic; congestive; consult; crackles; depression; diagnosed; diuretics; dnr; emergency; heart failure; heart rate; hospice; hypertension; iv; iv fluids; iv hydration; low; low back pain; oral; osteoporosis; perfusion; pneumonia; respiratory; shortness of breath,33,6,pass,0,,
83, Discharge Summary - 14 ,success,1675,35,35,abdominal; barium; barium enema; bilateral; bile; biopsies; blood pressure; cecum; colon; colonoscopy; complications; diarrhea; diffusely; diverticulosis; edema; egd; emergency; enemas; etiology; gastritis; headache; hematocrit; hemoglobin; hospitalization; laboratory studies; migraine; past medical history; persistent; potassium; pre,35,6,pass,0,,
84, Death Summary - 1 ,success,2175,47,47,adenopathy; appreciate; bronchoscopy; ca; carcinoma; cell; chemotherapy; chest pain; chest tube; ct scan; disease; dnr; elevated; emergency; extubated; gastrointestinal; hilar; hip; hypercalcemia; hyponatremia; intubated; intubation; left lower lobe; life support; liver function tests; malignancy; malignant; malignant cells; mechanical; metastases,47,6,warning,1,possible_over_detection,
85, Discharge Summary - 16 ,success,2603,28,28,amoxicillin; apnea; baseline; benign; bmp; cbc; complications; cyanosis; emesis; fever; followed up; heent; hematocrit; hemoglobin; infiltrate; lymphs; nasal; no apparent distress; pcr; platelets; respiratory; retractions; rhonchi; rsv; stable; symptoms; x-ray; x-rays,28,6,pass,0,,
86, Discharge Summary - 10 ,success,3287,32,32,ambulated; ambulating; chest pain; complications; constipation; ct scan; disease; fevers; flatus; foley catheter; fundoplication; gastric; gastroesophageal reflux; hiatal hernia; incision; motor; ng tube; number; postoperative; postoperatively; prescription; reflux; secondary diagnosis; shortness of breath; soft diet; stable; surgery; symptoms; urine; us,32,6,pass,0,,
87, CVA - Discharge Summary ,success,2534,54,54,albuterol; anterior; arm; aspirin; atherosclerotic; atrial enlargement; bronchitis; bun; calcium; cardiovascular disease; carotid; cerebrovascular accident; chest x-ray; chloride; coronary; creatinine; ct angiogram; diastolic; disease; doses; echocardiogram; elevated; emergency; glucose; hyperlipidemia; infarct; infiltrate; inr; internal carotid; lesion,54,6,warning,1,possible_over_detection,
88, Discharge Summary - 1 ,success,6127,84,84,abnormality; antibiotic; aortic; arm; artery; aspirin; atherosclerotic; atrial; basal; blood pressure; cardiac; carotid; cell; cerebral; cerebrovascular accident; cipro; clinical; congenital; consult; contrast; correlation; costophrenic; ct; ct scan; cyst; diastolic; diffuse; docusate sodium; dorsal; echocardiogram,84,6,warning,1,possible_over_detection,
89, Death Summary ,success,2613,45,45,acute on chronic; aortic valve; aspirated; aspiration; atrial fibrillation; beats per minute; bilateral; carotid; catheterization; chf; chronic obstructive pulmonary disease; copd; coronary artery; creatinine; critical care; disease; echocardiogram; exacerbation; extubated; heart catheterization; heart rate; hypertension; hypoxic; infarction; infiltrate; intubated; intubation; iv; myocardial; nephrology,45,6,warning,1,possible_over_detection,
90, Cognitive Linguistic Impairment - Discharge ,success,1559,12,12,auditory; cognitive; deficits; flexibility; impairment; medical; number; outpatient; referred; rehabilitation; stroke; therapy,12,6,pass,0,,
91, Discharge Summary ,success,2276,39,39,acute on chronic; allergic; antibiotics; bilateral; bronchitis; cannula; carcinoma; cardiac catheterization; cardiology; complaint; congestion; coronary artery; diastolic; disease; emergency; exercise; hyperlipidemia; hypertension; hypoxic; infectious; infiltrates; iv; metoprolol; mrsa; nasal; nasal congestion; o2 saturation; oral; oximetry; prednisone,39,6,pass,0,,
92, Cholestasis Of Pregnancy  ,success,2550,34,34,antibiotic; antibiotics; bowel movements; cholestasis; complication; cramps; delivery; edema; fahrenheit; fetal; fundus; gravida; hematocrit; hour; incision; laboratory studies; liver function tests; low; maternal; motrin; occasional; operative; postoperatively; preoperatively; pulse; range of motion; red cells; sign; stable; tachycardia,34,6,pass,0,,
93, Cholecystitis - Discharge Summary ,success,2696,52,52,abdominal; bile; bile duct; bilirubin; bmi; bowels; cc; cholangiogram; cholecystectomy; cholecystitis; choledocholithiasis; contrast; conversion; cystic duct; defect; dilated; distal; drain; drains; duodenum; elevated; elixir; emergency; ercp; filling; foley catheter; gallbladder; gallstones; gastric bypass; hernia,52,6,warning,1,possible_over_detection,
94, COPD - Discharge Summary ,success,1801,41,41,aortic valve; breath sounds; bronchitis; bun; chest pain; chest x-ray; chf; chronic; chronic obstructive pulmonary disease; complications; copd; cortisone; coumadin; creatinine; diaphoresis; dyspneic; elevated; fever; hematocrit; hemoglobin; hypertension; implantation; intravenous; intravenous antibiotics; laboratory studies; mechanical; past medical history; potassium; prednisone; rales,41,6,warning,1,possible_over_detection,
95, D&C - Discharge Summary ,success,1842,30,30,ambulate; ambulating; blood transfusions; cavity; complications; curettage; dissection; endometrial; excision; ferrous sulfate; fibroid; hematocrit; hemoglobin; hemostasis; infection; intraoperative; lab; medical; menometrorrhagia; operating room; packed red blood cells; postop; postoperatively; stable; surgical; tablet; tablets; therapy; unresponsive; x-ray,30,6,pass,0,,
96, COPD & Bronchitis - Discharge Summary ,success,1831,42,42,albuterol; aspirin; atherosclerotic; baseline; blood cultures; bronchitis; bun; calcium; cardiovascular disease; chest x-ray; chloride; chronic; chronic obstructive pulmonary disease; congestive; copd; creatinine; dementia; digoxin; exacerbation; fluid overload; glucose; heart failure; infiltrate; interstitial; intubate; nebulizers; oral; platelets; potassium; prognosis,42,6,warning,1,possible_over_detection,
97, CHF & Pleural Effusion - Discharge Summary ,success,2048,47,47,ace inhibitor; apical; aspirin; beta-blocker; bun; calcium; cardiac; chest x-rays; chf; chills; chloride; chronic disease; congestive; creatinine; defect; diastolic; docusate; doses; echocardiogram; elevated; emergency; enzymes; fever; glucose; heart failure; hypertension; inr; ischemia; iv; leukocytosis,47,6,warning,1,possible_over_detection,
98, Chronic Abscesses - Discharge Summary ,success,3743,51,51,abscesses; antibiotic; antibiotics; bilateral; chronic; clostridium; consult; debridement; disease; donor; dvt; excise; excision; feeding tube; filling; graft; grafting; hip; home health; hospitalization; hypoalbuminemia; infection; infectious; inflammation; injection; iv; lateral; monitor; necrotic; operating room,51,6,warning,1,possible_over_detection,
99, Cardio/Pulmo Discharge Summary ,success,3609,59,59,ambulance; basilar; blood gas; breath sounds; bronchodilator; calorie; cbc; chest pain; chronic obstructive pulmonary disease; clinical; congestive; consultant; coronary artery; digoxin; disease; distended; diuretic; doses; dyspnea; dyspneic; echocardiogram; edema; emergency; expiratory; extubated; heart failure; heart rate; hypertension; infarctions; intravenous,59,6,warning,1,possible_over_detection,
100, Cellulitis - Discharge Summary ,success,1922,25,25,antibiotics; bilateral; chronic; chronic pain; complex; complicated; compression; consult; doxycycline; edema; emergency; hepatitis; hospitalizations; iv; lower extremities; lower extremity; methicillin-resistant staphylococcus aureus; moderate; mrsa; outpatient; prescription; stable; tender; ultrasound; wound,25,6,pass,0,,
101, Back & Leg Pain - Discharge Summary ,success,1243,15,15,arthrodesis; bilateral; chronic pain; circumferential; graft; postoperative; preoperative; principal; radiculopathy; recombinant; secondary diagnosis; spinal; surgical procedure; syndrome; wounds,15,6,pass,0,,
102, Chest Pain & Respiratory Insufficiency ,success,994,18,18,ace inhibitor; advair; albuterol; angina; angiogram; aspirin; blood pressure; bypass surgery; coronary; disease; ekg; elevated; grafts; internal mammary; lisinopril; metoprolol; patent; vein,18,6,pass,0,,
103, Bronchiolitis - Discharge Summary ,success,3366,45,45,albuterol; anterior; axilla; bilateral; bowel; breath sounds; bulb; capillary; cardiovascular; chest x-ray; complications; congestion; crackles; doses; dyspnea; femoral; frequent; genitourinary; heart murmur; heent; hospitalization; infiltrate; murmur; nasal flaring; oral; orders; outpatient; patient.; perfused; pulses,45,6,warning,1,possible_over_detection,
104, BRCA-2 mutation ,success,1220,23,23,abdominal; ambulation; bilateral salpingo-oophorectomy; bowel; breast cancer; drainage; dysplasia; en bloc; family history; fevers; fossa; heart murmur; hysterectomy; mutation; ovarian; pathology; peritoneum; postoperative; postoperative course; social history; social worker; stable; surgery,23,6,pass,0,,
105, Back Pain - Discharge Summary ,success,5023,92,92,abdominal; acute on chronic; ambulating; amoxicillin; assessment; asthma; auscultation; axillary; bilateral; bilaterally; bladder; blood pressure; bone scan; bowel; cephalosporin; cervical; chest pain; chief complaint; chills; chronic; clubbing; constipation; consult; cyanosis; decadron; deep vein thrombosis prophylaxis; degenerative; diarrhea; disease; doxycycline,92,6,warning,1,possible_over_detection,
106, Cardiac Transfer Summary ,success,1955,31,31,aspirin; cardiac; cardiac cath; cardiac catheterization; cardiology; chest pain; consultations; coronary artery; deconditioning; disease; echocardiogram; followed up; h&p; hypertension; infarction; insulin; lesion; lower extremity; medial; metformin; mri; myocardial; neurology; obesity; parietal lobe; refer; short of breath; stable; stress; ultrasound,31,6,pass,0,,
107, Anterior Cervical Discectomy & Fusion - Discharge Summary ,success,2189,35,35,alignment; anterior; cc; cervical; discectomy; fever; grade; herniation; herniations; injection; intervention; intraoperative; lortab; low; moderate; mri; numbness; pathology; plate; postop; prescriptions; radiculopathy; risk; scan; screws; spasm; spirometry; surgery; surgical; tension headaches,35,6,pass,0,,
108, Abscess with Cellulitis - Discharge Summary ,success,2513,35,35,abscess; administration; ambulation; antibiotics; bilateral; bilaterally; by mouth; capillary; edema; elevated; erythema; excessive; home health; incision and drainage; intact; iv; line; oral; osteomyelitis; palpable; plantar; postop; pulses; social history; stable; surgery; surgical; surgical site; symptoms; tablet,35,6,pass,0,,
